,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador2_filiação,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador1_keyword_1,avaliador4_filiação,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/802943?guid=1652462147702&returnUrl=%2fresultado%2flistar%3fguid%3d1652462147702%26quantidadePaginas%3d1%26codigoRegistro%3d802943%23802943&i=2,orcid.org/0000-0002-6731-1482,sem orcid,orcid.org/0000-0002-7002-875X,,,no info,10,University of Campinas,sem orcid,Ricardo Dahab,Brazil,Julio Cesar Lopez Hernandez,Mexico,,,,,sem orcid,sem orcid,Cryptography,,,,,,,, Graph Theory,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/821421?guid=1652462175403&returnUrl=%2fresultado%2flistar%3fguid%3d1652462175403%26quantidadePaginas%3d1%26codigoRegistro%3d821421%23821421&i=1,orcid.org/0000-0003-4869-5190,sem orcid,sem orcid,,,Universidade Estadual de Campinas,11,sem orcid,sem orcid,sem orcid,sem orcid,Guido Araujo,no info,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/845168?guid=1652462246191&returnUrl=%2fresultado%2flistar%3fguid%3d1652462246191%26quantidadePaginas%3d1%26codigoRegistro%3d845168%23845168&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0003-1908-4753,,,Universidade Estadual de Campinas,12,Universidade Estadual de Campinas Instituto de Computação,sem orcid,Claudia Medeiros,Brazil,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,sem orcid,sem orcid,Scientific data management,,,,,,,, Data interoperability, Open Science,,,data science,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/804619?guid=1652462290634&returnUrl=%2fresultado%2flistar%3fguid%3d1652462290634%26quantidadePaginas%3d1%26codigoRegistro%3d804619%23804619&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0003-4869-5190,,,no info,13,Universidade Estadual de Campinas,sem orcid,Guido Araujo,no info,Eliane Martins,no info,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/823147?guid=1652462376919&returnUrl=%2fresultado%2flistar%3fguid%3d1652462376919%26quantidadePaginas%3d1%26codigoRegistro%3d823147%23823147&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,,,Universidade Estadual de Campinas,14,UNICAMP - University of Campinas,sem orcid,Edmundo Madeira,no info,Nelson L. S. da Fonseca,no info,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/820838?guid=1652462480580&returnUrl=%2fresultado%2flistar%3fguid%3d1652462480580%26quantidadePaginas%3d1%26codigoRegistro%3d820838%23820838&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0003-1908-4753,,,no info,15,Universidade Estadual de Campinas Instituto de Computação,sem orcid,Claudia Medeiros,Brazil,Eliane Martins,no info,,,,,sem orcid,sem orcid,Scientific data management,,,,,,,, Data interoperability, Open Science,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/836587?guid=1652462568222&returnUrl=%2fresultado%2flistar%3fguid%3d1652462568222%26quantidadePaginas%3d1%26codigoRegistro%3d836587%23836587&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0001-8522-2056,orcid.org/0000-0003-0125-630X,,,Universidade Estadual de Campinas,16,University of Campinas,Pontifícia Universidade Católica de Minas Gerais,Helio Pedrini,Brazil,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,Silvio GUIMARAES,Brazil,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/845752?guid=1652462600537&returnUrl=%2fresultado%2flistar%3fguid%3d1652462600537%26quantidadePaginas%3d1%26codigoRegistro%3d845752%23845752&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0002-1756-4852,,,no info,17,Universidade Estadual de Campinas,sem orcid,André Santanchè,no info,Eliane Martins,no info,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/837152?guid=1652462643240&returnUrl=%2fresultado%2flistar%3fguid%3d1652462643240%26quantidadePaginas%3d1%26codigoRegistro%3d837152%23837152&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0002-0483-3435,orcid.org/0000-0001-9772-263X,,,no info,18,Universidade Estadual de Campinas,no info,Ricardo Torres,Netherlands,Neucimar Leite,no info,,,,,Leyza Dorini,no info,multimedia retrieval,,,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/836613?guid=1652462675761&returnUrl=%2fresultado%2flistar%3fguid%3d1652462675761%26quantidadePaginas%3d1%26codigoRegistro%3d836613%23836613&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-6625-6047,orcid.org/0000-0003-1783-4231,,,Universidade Estadual de Campinas,19,Universidade Estadual de Campinas,Universidade de São Paulo Câmpus de São Carlos,Edson Borin,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,Caetano Traina Junior,no info,,,,,,,,,,,,,data science,,,,,,,
