,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador2_filiação,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador1_keyword_1,avaliador4_filiação,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/838906?guid=1652463509485&returnUrl=%2fresultado%2flistar%3fguid%3d1652463509485%26quantidadePaginas%3d1%26codigoRegistro%3d838906%23838906&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0002-6731-1482,,,University of Campinas,30,no info,sem orcid,Julio Cesar Lopez Hernandez,Mexico,Paulo de Geus,Brazil,Computer Security,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/839964?guid=1652463553578&returnUrl=%2fresultado%2flistar%3fguid%3d1652463553578%26quantidadePaginas%3d1%26codigoRegistro%3d839964%23839964&i=1,sem orcid,orcid.org/0000-0003-1929-9391,orcid.org/0000-0001-8309-6367,,,sem orcid,31,Universidade Estadual de Campinas,no info,Ariadne Carvalho,no info,sem orcid,sem orcid,,,,,Leonardo Cunha de Miranda,Brazil,,,,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/846125?guid=1652463579605&returnUrl=%2fresultado%2flistar%3fguid%3d1652463579605%26quantidadePaginas%3d1%26codigoRegistro%3d846125%23846125&i=1,orcid.org/0000-0002-1067-6421,sem orcid,orcid.org/0000-0003-2674-3366,,,no info,32,Universidade Federal de Catalão,sem orcid,"Alves de Queiroz, Thiago",Brazil,Flávio K. Miyazawa,no info,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/846266?guid=1652463608430&returnUrl=%2fresultado%2flistar%3fguid%3d1652463608430%26quantidadePaginas%3d1%26codigoRegistro%3d846266%23846266&i=1,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0002-3948-305X,,,Universidade Estadual de Campinas,33,Universidade Federal de São Carlos,sem orcid,Reinaldo Morabito,Brazil,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
34,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/855148?guid=1652463652829&returnUrl=%2fresultado%2flistar%3fguid%3d1652463652829%26quantidadePaginas%3d1%26codigoRegistro%3d855148%23855148&i=1,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0002-3159-4839,,,University of Campinas,34,State University of Campinas,sem orcid,Jorge Stolfi,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
35,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/845784?guid=1652463686524&returnUrl=%2fresultado%2flistar%3fguid%3d1652463686524%26quantidadePaginas%3d1%26codigoRegistro%3d845784%23845784&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,,,Universidade Estadual de Campinas,35,UNICAMP - University of Campinas,sem orcid,Edmundo Madeira,no info,Nelson L. S. da Fonseca,no info,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
36,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/849399?guid=1652463714109&returnUrl=%2fresultado%2flistar%3fguid%3d1652463714109%26quantidadePaginas%3d1%26codigoRegistro%3d849399%23849399&i=1,sem orcid,orcid.org/0000-0003-0678-4777,orcid.org/0000-0002-4830-5298,,,sem orcid,36,Universidade Estadual de Campinas,University of Campinas,Maria Cecilia Calani Baranauskas,Brazil,sem orcid,sem orcid,,,,,Regina Moraes,Brazil,HCI,,,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,
37,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/845811?guid=1652463743933&returnUrl=%2fresultado%2flistar%3fguid%3d1652463743933%26quantidadePaginas%3d1%26codigoRegistro%3d845811%23845811&i=2,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-6354-8917,orcid.org/0000-0003-1783-4231,,,Universidade Estadual de Campinas,37,Universidade Estadual de Campinas,no info,Edson Borin,no info,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,Marcio Seiji Oyamada,no info,,,,,,,,,,,,,,,,,,,,
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/782478?guid=1652464881685&returnUrl=%2fresultado%2flistar%3fguid%3d1652464881685%26quantidadePaginas%3d1%26codigoRegistro%3d782478%23782478&i=3,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9957-5861,orcid.org/0000-0003-1752-6255,orcid.org/0000-0002-3823-8941,orcid.org/0000-0003-1783-4231,Universidade Estadual de Campinas,38,Advanced Micro Devices,Universidade Federal do Rio Grande do Sul,Mauricio Breternitz,no info,Guido Araujo,no info,,,,,Philippe Navaux,Brazil,,,Universidade Estadual de Campinas,University of Campinas,Edson Borin,no info,Luiz Eduardo Buzato,Brazil,,,,,,distributed systems,distributed algorithms,fault tolerance,,,,
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/794965?guid=1652464936202&returnUrl=%2fresultado%2flistar%3fguid%3d1652464936202%26quantidadePaginas%3d1%26codigoRegistro%3d794965%23794965&i=1,orcid.org/0000-0002-3159-4839,orcid.org/0000-0002-8514-8033,sem orcid,orcid.org/0000-0003-0683-7672,sem orcid,State University of Campinas,39,sem orcid,Universidade de São Paulo,sem orcid,sem orcid,Jorge Stolfi,no info,,,,,Luis Nonato,no info,,,sem orcid,no info,sem orcid,sem orcid,Anamaria Gomide,no info,,,,,,,,,,,,
