tipo,url
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/989419?guid=1652565542600&returnUrl=%2fresultado%2flistar%3fguid%3d1652565542600%26quantidadePaginas%3d1%26codigoRegistro%3d989419%23989419&i=1
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/990899?guid=1652565593218&returnUrl=%2fresultado%2flistar%3fguid%3d1652565593218%26quantidadePaginas%3d1%26codigoRegistro%3d990899%23990899&i=1
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/990516?guid=1652565677356&returnUrl=%2fresultado%2flistar%3fguid%3d1652565677356%26quantidadePaginas%3d1%26codigoRegistro%3d990516%23990516&i=2
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/989865?guid=1652565713536&returnUrl=%2fresultado%2flistar%3fguid%3d1652565713536%26quantidadePaginas%3d1%26codigoRegistro%3d989865%23989865&i=2
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/993981?guid=1652565740319&returnUrl=%2fresultado%2flistar%3fguid%3d1652565740319%26quantidadePaginas%3d1%26codigoRegistro%3d993981%23993981&i=1
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/989689?guid=1652565772586&returnUrl=%2fresultado%2flistar%3fguid%3d1652565772586%26quantidadePaginas%3d1%26codigoRegistro%3d989689%23989689&i=1
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/994808?guid=1652565800051&returnUrl=%2fresultado%2flistar%3fguid%3d1652565800051%26quantidadePaginas%3d1%26codigoRegistro%3d994808%23994808&i=1
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/990800?guid=1652565840551&returnUrl=%2fresultado%2flistar%3fguid%3d1652565840551%26quantidadePaginas%3d1%26codigoRegistro%3d990800%23990800&i=2
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/994197?guid=1652565865887&returnUrl=%2fresultado%2flistar%3fguid%3d1652565865887%26quantidadePaginas%3d1%26codigoRegistro%3d994197%23994197&i=1
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/993762?guid=1652566022755&returnUrl=%2fresultado%2flistar%3fguid%3d1652566022755%26quantidadePaginas%3d1%26codigoRegistro%3d993762%23993762&i=16
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/991617?guid=1652566079522&returnUrl=%2fresultado%2flistar%3fguid%3d1652566079522%26quantidadePaginas%3d1%26codigoRegistro%3d991617%23991617&i=1
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/981754?guid=1652566104375&returnUrl=%2fresultado%2flistar%3fguid%3d1652566104375%26quantidadePaginas%3d1%26codigoRegistro%3d981754%23981754&i=2
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/986670?guid=1652566163698&returnUrl=%2fresultado%2flistar%3fguid%3d1652566163698%26quantidadePaginas%3d1%26codigoRegistro%3d986670%23986670&i=3
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/984684?guid=1652566199323&returnUrl=%2fresultado%2flistar%3fguid%3d1652566199323%26quantidadePaginas%3d1%26codigoRegistro%3d984684%23984684&i=2
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/984605?guid=1652566237627&returnUrl=%2fresultado%2flistar%3fguid%3d1652566237627%26quantidadePaginas%3d1%26codigoRegistro%3d984605%23984605&i=1
