tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/980786?guid=1652795020633&returnUrl=%2fresultado%2flistar%3fguid%3d1652795020633%26quantidadePaginas%3d1%26codigoRegistro%3d980786%23980786&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0001-8824-3055,orcid.org/0000-0002-9539-6874,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/980739?guid=1652795046025&returnUrl=%2fresultado%2flistar%3fguid%3d1652795046025%26quantidadePaginas%3d1%26codigoRegistro%3d980739%23980739&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-3738-6448,orcid.org/0000-0002-9539-6874,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/980364?guid=1652564340898&returnUrl=%2fresultado%2flistar%3fguid%3d1652564340898%26quantidadePaginas%3d1%26codigoRegistro%3d980364%23980364&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-3589-1619,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983860?guid=1652564370935&returnUrl=%2fresultado%2flistar%3fguid%3d1652564370935%26quantidadePaginas%3d1%26codigoRegistro%3d983860%23983860&i=1,orcid.org/0000-0003-2608-4807,sem orcid,orcid.org/0000-0003-0125-630X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984825?guid=1652564400766&returnUrl=%2fresultado%2flistar%3fguid%3d1652564400766%26quantidadePaginas%3d1%26codigoRegistro%3d984825%23984825&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0002-4321-9075,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984388?guid=1652564664068&returnUrl=%2fresultado%2flistar%3fguid%3d1652564664068%26quantidadePaginas%3d1%26codigoRegistro%3d984388%23984388&i=3,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0001-9068-938X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983916?guid=1652564692442&returnUrl=%2fresultado%2flistar%3fguid%3d1652564692442%26quantidadePaginas%3d1%26codigoRegistro%3d983916%23983916&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-9104-613X,orcid.org/0000-0002-5243-0921,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984216?guid=1652564726245&returnUrl=%2fresultado%2flistar%3fguid%3d1652564726245%26quantidadePaginas%3d1%26codigoRegistro%3d984216%23984216&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-9539-6874,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984319?guid=1652564759960&returnUrl=%2fresultado%2flistar%3fguid%3d1652564759960%26quantidadePaginas%3d1%26codigoRegistro%3d984319%23984319&i=1,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-3861-7260,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983997?guid=1652564786158&returnUrl=%2fresultado%2flistar%3fguid%3d1652564786158%26quantidadePaginas%3d1%26codigoRegistro%3d983997%23983997&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-7779-1950,orcid.org/0000-0001-9772-263X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984498?guid=1652564814030&returnUrl=%2fresultado%2flistar%3fguid%3d1652564814030%26quantidadePaginas%3d1%26codigoRegistro%3d984498%23984498&i=2,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-9539-6874,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984003?guid=1652564838498&returnUrl=%2fresultado%2flistar%3fguid%3d1652564838498%26quantidadePaginas%3d1%26codigoRegistro%3d984003%23984003&i=2,orcid.org/0000-0002-3891-1593,orcid.org/0000-0001-8309-6367,orcid.org/0000-0002-9666-3954,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983950?guid=1652564872341&returnUrl=%2fresultado%2flistar%3fguid%3d1652564872341%26quantidadePaginas%3d1%26codigoRegistro%3d983950%23983950&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0001-9084-7173,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983951?guid=1652564974422&returnUrl=%2fresultado%2flistar%3fguid%3d1652564974422%26quantidadePaginas%3d1%26codigoRegistro%3d983951%23983951&i=1,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-9209-7764,orcid.org/0000-0001-6305-9059,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984175?guid=1652565020182&returnUrl=%2fresultado%2flistar%3fguid%3d1652565020182%26quantidadePaginas%3d1%26codigoRegistro%3d984175%23984175&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/985349?guid=1652565051964&returnUrl=%2fresultado%2flistar%3fguid%3d1652565051964%26quantidadePaginas%3d1%26codigoRegistro%3d985349%23985349&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-7008-4092,orcid.org/0000-0002-9545-2098,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/985165?guid=1652565088067&returnUrl=%2fresultado%2flistar%3fguid%3d1652565088067%26quantidadePaginas%3d1%26codigoRegistro%3d985165%23985165&i=3,orcid.org/0000-0002-3372-3366,sem orcid,orcid.org/0000-0001-6305-9059,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/985371?guid=1652565118943&returnUrl=%2fresultado%2flistar%3fguid%3d1652565118943%26quantidadePaginas%3d1%26codigoRegistro%3d985371%23985371&i=2,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0001-9068-938X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984613?guid=1652565152516&returnUrl=%2fresultado%2flistar%3fguid%3d1652565152516%26quantidadePaginas%3d1%26codigoRegistro%3d984613%23984613&i=1,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-2162-6523,orcid.org/0000-0002-1180-2637,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/987602?guid=1652565194596&returnUrl=%2fresultado%2flistar%3fguid%3d1652565194596%26quantidadePaginas%3d1%26codigoRegistro%3d987602%23987602&i=2,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-6305-9059,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/988228?guid=1652565232693&returnUrl=%2fresultado%2flistar%3fguid%3d1652565232693%26quantidadePaginas%3d1%26codigoRegistro%3d988228%23988228&i=4,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9957-5861,orcid.org/0000-0003-4869-5190,,,,
