tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918754?guid=1652477669486&returnUrl=%2fresultado%2flistar%3fguid%3d1652477669486%26quantidadePaginas%3d1%26codigoRegistro%3d918754%23918754&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-4312-202X,orcid.org/0000-0001-5295-3514,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/917385?guid=1652477710770&returnUrl=%2fresultado%2flistar%3fguid%3d1652477710770%26quantidadePaginas%3d1%26codigoRegistro%3d917385%23917385&i=5,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-3372-3366,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/915715,orcid.org/0000-0002-6540-8686,orcid.org/0000-0001-5227-7165,orcid.org/0000-0002-6731-1482,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/915719?guid=1652477865933&returnUrl=%2fresultado%2flistar%3fguid%3d1652477865933%26quantidadePaginas%3d1%26codigoRegistro%3d915719%23915719&i=1,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0002-8972-080X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/922125?guid=1652477901512&returnUrl=%2fresultado%2flistar%3fguid%3d1652477901512%26quantidadePaginas%3d1%26codigoRegistro%3d922125%23922125&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-2867-4838,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/919112?guid=1652478114160&returnUrl=%2fresultado%2flistar%3fguid%3d1652478114160%26quantidadePaginas%3d1%26codigoRegistro%3d919112%23919112&i=1,sem orcid,orcid.org/0000-0001-9625-5259,orcid.org/0000-0001-8309-6367,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/919545?guid=1652478163144&returnUrl=%2fresultado%2flistar%3fguid%3d1652478163144%26quantidadePaginas%3d1%26codigoRegistro%3d919545%23919545&i=17,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-5591-3750,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/920397?guid=1652478207745&returnUrl=%2fresultado%2flistar%3fguid%3d1652478207745%26quantidadePaginas%3d1%26codigoRegistro%3d920397%23920397&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0002-4236-8212,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918039?guid=1652478239070&returnUrl=%2fresultado%2flistar%3fguid%3d1652478239070%26quantidadePaginas%3d1%26codigoRegistro%3d918039%23918039&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-1531-7249,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918032?guid=1652478313307&returnUrl=%2fresultado%2flistar%3fguid%3d1652478313307%26quantidadePaginas%3d1%26codigoRegistro%3d918032%23918032&i=1,orcid.org/0000-0002-9539-6874,orcid.org/0000-0003-1752-6255,sem orcid,,
