tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1260802,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-9318-7956,orcid.org/0000-0002-1756-4852,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1241594,orcid.org/0000-0003-1783-4231,sem orcid,orcid.org/0000-0002-4531-1473,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1239069,orcid.org/0000-0002-4531-1473,orcid.org/0000-0001-7598-2799,orcid.org/0000-0002-9545-2098,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1241978,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-5396-9868,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1241300,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-6044-4012,orcid.org/0000-0001-9068-938X,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242931,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2112-4806,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242951,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0002-9545-2098,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1243028,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-0512-506X,orcid.org/0000-0001-6994-8076,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1243332,orcid.org/0000-0002-6023-5982,orcid.org/0000-0001-8657-3800,orcid.org/0000-0002-8603-699X,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242638,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-1381-4794,sem orcid,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242691,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8229-3385,orcid.org/0000-0002-8429-4119,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1245035,orcid.org/0000-0002-7603-9695,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-9820-6047,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1246210,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-5652-0852,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1244851,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-3734-7679,orcid.org/0000-0001-6030-2682,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1246709,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-6494-7514,orcid.org/0000-0001-9068-938X,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1247332,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-7509-5532,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1246230,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-0357-8655,orcid.org/0000-0003-0125-630X,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1247973,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6928-0168,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1248397,orcid.org/0000-0002-8603-699X,orcid.org/0000-0003-3765-8300,orcid.org/0000-0002-0713-0583,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1249913,orcid.org/0000-0003-1214-3431,orcid.org/0000-0003-1783-4231,orcid.org/0000-0001-5746-4154,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1254536,orcid.org/0000-0001-9068-938X,orcid.org/0000-0001-9319-9829,orcid.org/0000-0002-8429-4119,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1253585,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1546-3740,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371284,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-4128-5415,orcid.org/0000-0003-0499-2564,,
