,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,orientador_filiação,row_idx,orientador_nome,orientador_país,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_filiação,avaliador4_filiação,avaliador5_filiação,avaliador3_nome,avaliador3_país,avaliador6_nome,avaliador6_país,avaliador5_nome,avaliador5_país,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador6_filiação,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/420825?guid=1651936552381&returnUrl=%2fresultado%2flistar%3fguid%3d1651936552381%26quantidadePaginas%3d1%26codigoRegistro%3d420825%23420825&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0002-8803-0401,,,,,University of Campinas,0,Paulo de Geus,Brazil,UNICAMP,sem orcid,sem orcid,Rodolfo Azevedo,Brazil,,,Computer Security,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364402?guid=1651936595480&returnUrl=%2fresultado%2flistar%3fguid%3d1651936595480%26quantidadePaginas%3d1%26codigoRegistro%3d364402%23364402&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0002-7002-875X,,,,,University of Campinas,1,Paulo de Geus,Brazil,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,Computer Security,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/378058?guid=1651936635269&returnUrl=%2fresultado%2flistar%3fguid%3d1651936635269%26quantidadePaginas%3d1%26codigoRegistro%3d378058%23378058&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-1574-0362,,,,,Universidade Estadual de Campinas,2,Guido Araujo,no info,Instituto Tecnológico de Aeronáutica,Rodolfo Azevedo,Brazil,Cesar Marcondes,Brazil,,,,,,,UNICAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364404?guid=1651936703650&returnUrl=%2fresultado%2flistar%3fguid%3d1651936703650%26quantidadePaginas%3d1%26codigoRegistro%3d364404%23364404&i=1,orcid.org/0000-0001-5685-8004,sem orcid,orcid.org/0000-0002-7002-875X,,,,,no info,3,Siome Goldenstein,no info,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/365332?guid=1651936734921&returnUrl=%2fresultado%2flistar%3fguid%3d1651936734921%26quantidadePaginas%3d1%26codigoRegistro%3d365332%23365332&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-5489-4909,orcid.org/0000-0002-9554-1381,orcid.org/0000-0002-3159-4839,,,,no info,4,Siome Goldenstein,no info,State University of Campinas,Luiz Velho,no info,Ricardo Machado Leite de Barros,Brazil,Biomecânica,Cinesiologia,,,,,IMPA,,,Jorge Stolfi,no info,,,,,State University of Campinas,,,,Educação Física Desportiva,Biomecânica do Movimento Humano Aplicada aos Esportes,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364377?guid=1651936782089&returnUrl=%2fresultado%2flistar%3fguid%3d1651936782089%26quantidadePaginas%3d1%26codigoRegistro%3d364377%23364377&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-5685-8004,,,,,Universidade Estadual de Campinas,5,Alexandre Falcao,Brazil,no info,sem orcid,sem orcid,Siome Goldenstein,no info,,,image processing, visualization, and analysis, (interactive) machine learning ,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364410?guid=1651936837446&returnUrl=%2fresultado%2flistar%3fguid%3d1651936837446%26quantidadePaginas%3d1%26codigoRegistro%3d364410%23364410&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0002-9554-1381,,,,,no info,6,Jacques Wainer,Brazil,State University of Campinas,sem orcid,sem orcid,Ricardo Machado Leite de Barros,Brazil,Biomecânica,Cinesiologia,,,,,sem orcid,,,,,,,,,,,,,Educação Física Desportiva,Biomecânica do Movimento Humano Aplicada aos Esportes,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396675?guid=1651936873851&returnUrl=%2fresultado%2flistar%3fguid%3d1651936873851%26quantidadePaginas%3d1%26codigoRegistro%3d396675%23396675&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-7959-6569,orcid.org/0000-0002-6023-5982,,,,,Universidade Estadual de Campinas,7,Nelson L. S. da Fonseca,no info,University of Campinas,Célio Albuquerque,Brazil,Islene Calciolari Garcia,no info,,,,,,,Universidade Federal Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364420?guid=1651936924104&returnUrl=%2fresultado%2flistar%3fguid%3d1651936924104%26quantidadePaginas%3d1%26codigoRegistro%3d364420%23364420&i=1,sem orcid,sem orcid,orcid.org/0000-0002-8856-194X,,,,,sem orcid,8,sem orcid,sem orcid,University of Campinas,sem orcid,sem orcid,Ricardo Anido,Brazil,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/367432?guid=1651936952104&returnUrl=%2fresultado%2flistar%3fguid%3d1651936952104%26quantidadePaginas%3d1%26codigoRegistro%3d367432%23367432&i=1,orcid.org/0000-0002-8856-194X,orcid.org/0000-0001-5015-2131,orcid.org/0000-0001-8522-2056,orcid.org/0000-0001-5685-8004,,,,University of Campinas,9,Ricardo Anido,Brazil,Pontifícia Universidade Católica de Minas Gerais,Neucimar Leite,no info,Silvio GUIMARAES,Brazil,,,,,,,no info,,,Siome Goldenstein,no info,,,,,no info,,,,,,,,,,,,,,,,,,,
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/400629?guid=1651936990184&returnUrl=%2fresultado%2flistar%3fguid%3d1651936990184%26quantidadePaginas%3d1%26codigoRegistro%3d400629%23400629&i=1,orcid.org/0000-0002-1067-6421,sem orcid,orcid.org/0000-0003-4462-3325,,,,,no info,10,Flávio K. Miyazawa,no info,University of Campinas,sem orcid,sem orcid,Orlando Lee,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/367434?guid=1651937033207&returnUrl=%2fresultado%2flistar%3fguid%3d1651937033207%26quantidadePaginas%3d1%26codigoRegistro%3d367434%23367434&i=3,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-3823-8941,sem orcid,orcid.org/0000-0001-5746-4154,orcid.org/0000-0002-8856-194X,,,UNICAMP - University of Campinas,11,Edmundo Madeira,no info,sem orcid,Luiz Eduardo Buzato,Brazil,sem orcid,sem orcid,,,,,,,University of Campinas,University of Campinas,,Alfredo Goldman,no info,,,,,no info,Ricardo Anido,Brazil,,,,distributed systems,distributed algorithms,fault tolerance,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/375175?guid=1651937074158&returnUrl=%2fresultado%2flistar%3fguid%3d1651937074158%26quantidadePaginas%3d1%26codigoRegistro%3d375175%23375175&i=1,sem orcid,orcid.org/0000-0001-9892-740X,orcid.org/0000-0002-8856-194X,,,,,sem orcid,12,sem orcid,sem orcid,University of Campinas,Eleri Cardozo,Brazil,Ricardo Anido,Brazil,,,,,,,University of Campinas,,,,,,,,,,,,,,,Unicamp, Poli/USP, ITA,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398427?guid=1651937109565&returnUrl=%2fresultado%2flistar%3fguid%3d1651937109565%26quantidadePaginas%3d1%26codigoRegistro%3d398427%23398427&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,,,,,Universidade Estadual de Campinas,13,Nelson L. S. da Fonseca,no info,UNICAMP - University of Campinas,sem orcid,sem orcid,Edmundo Madeira,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/372963?guid=1651937152571&returnUrl=%2fresultado%2flistar%3fguid%3d1651937152571%26quantidadePaginas%3d1%26codigoRegistro%3d372963%23372963&i=1,orcid.org/0000-0002-6540-8686,orcid.org/0000-0003-2592-3664,sem orcid,,,,,University of Campinas,14,Paulo de Geus,Brazil,sem orcid,Carlos Maziero,Brazil,sem orcid,sem orcid,,,Computer Security,,,,Universidade Tecnológica Federal do Paraná,,,,,,,,,,,,,,,Operating Systems,Computer Security,Distributed Systems,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/380579?guid=1651937719340&returnUrl=%2fresultado%2flistar%3fguid%3d1651937719340%26quantidadePaginas%3d1%26codigoRegistro%3d380579%23380579&i=2,orcid.org/0000-0002-4830-5298,,,,,,,Universidade Estadual de Campinas,15,Maria Cecilia Calani Baranauskas,Brazil,,,,,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/465184?guid=1651937742954&returnUrl=%2fresultado%2flistar%3fguid%3d1651937742954%26quantidadePaginas%3d1%26codigoRegistro%3d465184%23465184&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0003-2046-602X,,,,,UNICAMP - University of Campinas,16,Edmundo Madeira,no info,Universidade Estadual de Campinas,sem orcid,sem orcid,Nelson L. S. da Fonseca,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/377487?guid=1651937789246&returnUrl=%2fresultado%2flistar%3fguid%3d1651937789246%26quantidadePaginas%3d1%26codigoRegistro%3d377487%23377487&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-9625-5259,orcid.org/0000-0003-4290-6508,,,,,no info,17,Cecilia Mary Fischer Rubira Rubira,no info,no info,Itana Gimenes,Brazil,Eliane Martins,no info,,,,,,,Universidade Estadual de Maringá,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/375289?guid=1651937818994&returnUrl=%2fresultado%2flistar%3fguid%3d1651937818994%26quantidadePaginas%3d1%26codigoRegistro%3d375289%23375289&i=1,sem orcid,sem orcid,orcid.org/0000-0003-4462-3325,,,,,sem orcid,18,sem orcid,sem orcid,University of Campinas,sem orcid,sem orcid,Orlando Lee,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/377477?guid=1651937856140&returnUrl=%2fresultado%2flistar%3fguid%3d1651937856140%26quantidadePaginas%3d1%26codigoRegistro%3d377477%23377477&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-7002-875X,,,,,Universidade Estadual de Campinas,19,Guido Araujo,no info,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398426?guid=1651937916219&returnUrl=%2fresultado%2flistar%3fguid%3d1651937916219%26quantidadePaginas%3d1%26codigoRegistro%3d398426%23398426&i=4,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-3139-6266,orcid.org/0000-0002-8856-194X,,,,,no info,20,Eliane Martins,no info,University of Campinas,Silvia Vergilio,no info,Ricardo Anido,Brazil,,,,,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396976?guid=1651937947579&returnUrl=%2fresultado%2flistar%3fguid%3d1651937947579%26quantidadePaginas%3d1%26codigoRegistro%3d396976%23396976&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-5378-4732,orcid.org/0000-0003-2046-602X,,,,,UNICAMP - University of Campinas,21,Edmundo Madeira,no info,Universidade Estadual de Campinas,Djamel F Hadj Sadok,Brazil,Nelson L. S. da Fonseca,no info,,,,,,,Universidade Federal de Pernambuco,,,,,,,,,,,,,,,Computer Networks,Communication Systems,Protocols,Security,Cloud Computing,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/376808?guid=1651937999151&returnUrl=%2fresultado%2flistar%3fguid%3d1651937999151%26quantidadePaginas%3d1%26codigoRegistro%3d376808%23376808&i=8,orcid.org/0000-0002-1067-6421,orcid.org/0000-0003-4804-5788,orcid.org/0000-0002-5945-0845,,,,,no info,22,Flávio K. Miyazawa,no info,Universidade Estadual de Campinas,Carlos Ferreira,no info,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,,,,,University of São Paulo,,,,,,,,,,,,,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444613?guid=1651938027757&returnUrl=%2fresultado%2flistar%3fguid%3d1651938027757%26quantidadePaginas%3d1%26codigoRegistro%3d444613%23444613&i=2,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-4961-3428,orcid.org/0000-0002-1180-2637,,,,Universidade Estadual de Campinas,23,Nelson L. S. da Fonseca,no info,University of Campinas School of Electrical and Computer Engineering,sem orcid,sem orcid,José C. Geromel,no info,,,,,,,sem orcid,,,Edmundo Madeira,no info,,,,,UNICAMP - University of Campinas,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/393814?guid=1651938057235&returnUrl=%2fresultado%2flistar%3fguid%3d1651938057235%26quantidadePaginas%3d1%26codigoRegistro%3d393814%23393814&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-7878-4990,,,,,University of Campinas,24,Zanoni Dias,Brazil,State University of Campinas,Guilherme P. Telles,Brazil,Joao Meidanis,no info,,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396633?guid=1651938122685&returnUrl=%2fresultado%2flistar%3fguid%3d1651938122685%26quantidadePaginas%3d1%26codigoRegistro%3d396633%23396633&i=8,orcid.org/0000-0003-3333-6822,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-7878-4990,,,,,University of Campinas,25,Zanoni Dias,Brazil,State University of Campinas,Guilherme P. Telles,Brazil,Joao Meidanis,no info,,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/416896?guid=1651938150403&returnUrl=%2fresultado%2flistar%3fguid%3d1651938150403%26quantidadePaginas%3d1%26codigoRegistro%3d416896%23416896&i=1,orcid.org/0000-0002-8856-194X,sem orcid,orcid.org/0000-0003-4290-6508,,,,,University of Campinas,26,Ricardo Anido,Brazil,no info,sem orcid,sem orcid,Eliane Martins,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/393832?guid=1651938179019&returnUrl=%2fresultado%2flistar%3fguid%3d1651938179019%26quantidadePaginas%3d1%26codigoRegistro%3d393832%23393832&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4344-1263,orcid.org/0000-0001-9772-263X,,,,,Universidade Estadual de Campinas Instituto de Computação,27,Claudia Medeiros,Brazil,Universidade Estadual de Campinas,Rubens Augusto Camargo Lamparelli,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,Scientific data management, Data interoperability, Open Science,,Universidade Estadual de Campinas,,,,,,,,,,,,,machine learning,information visualization,,,,,,data science,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/430403?guid=1651938214348&returnUrl=%2fresultado%2flistar%3fguid%3d1651938214348%26quantidadePaginas%3d1%26codigoRegistro%3d430403%23430403&i=2,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1180-2637,,,,,University of Campinas,28,Islene Calciolari Garcia,no info,UNICAMP - University of Campinas,André Santanchè,no info,Edmundo Madeira,no info,,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/397009?guid=1651938297064&returnUrl=%2fresultado%2flistar%3fguid%3d1651938297064%26quantidadePaginas%3d1%26codigoRegistro%3d397009%23397009&i=4,sem orcid,orcid.org/0000-0002-1180-2637,sem orcid,,,,,sem orcid,29,sem orcid,sem orcid,sem orcid,Edmundo Madeira,no info,sem orcid,sem orcid,,,,,,,UNICAMP - University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/397013?guid=1651938319668&returnUrl=%2fresultado%2flistar%3fguid%3d1651938319668%26quantidadePaginas%3d1%26codigoRegistro%3d397013%23397013&i=1,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0003-4462-3325,,,,,Universidade Estadual de Campinas,30,Cid de Souza,Brazil,University of Campinas,sem orcid,sem orcid,Orlando Lee,no info,,,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/415450?guid=1651938369433&returnUrl=%2fresultado%2flistar%3fguid%3d1651938369433%26quantidadePaginas%3d1%26codigoRegistro%3d415450%23415450&i=2,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-5193-8643,orcid.org/0000-0002-6023-5982,,,,,Universidade Estadual de Campinas,31,Nelson L. S. da Fonseca,no info,University of Campinas,Omar Branquinho,no info,Islene Calciolari Garcia,no info,,,,,,,Pontifícia Universidade Católica de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/408757?guid=1651938415629&returnUrl=%2fresultado%2flistar%3fguid%3d1651938415629%26quantidadePaginas%3d1%26codigoRegistro%3d408757%23408757&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0002-4830-5298,,,,,no info,32,Eliane Martins,no info,Universidade Estadual de Campinas,sem orcid,sem orcid,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,,,,,sem orcid,,,,,,,,,,,,,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,
33,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/378303?guid=1651938459700&returnUrl=%2fresultado%2flistar%3fguid%3d1651938459700%26quantidadePaginas%3d1%26codigoRegistro%3d378303%23378303&i=12,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-4549-7105,orcid.org/0000-0002-1914-5790,,,,,no info,33,Eliane Martins,no info,no info,Cecilia Mary Fischer Rubira Rubira,no info,Mario Jino,no info,,,,,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,
