,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,orientador_filiação,row_idx,orientador_nome,orientador_país,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_filiação,avaliador4_filiação,avaliador5_filiação,avaliador3_nome,avaliador3_país,avaliador6_nome,avaliador6_país,avaliador5_nome,avaliador5_país,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador6_filiação,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
44,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/398434?guid=1651938892997&returnUrl=%2fresultado%2flistar%3fguid%3d1651938892997%26quantidadePaginas%3d1%26codigoRegistro%3d398434%23398434&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0001-8309-6367,,,,,no info,44,Cecilia Mary Fischer Rubira Rubira,no info,Universidade Estadual de Campinas,sem orcid,sem orcid,Ariadne Carvalho,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/420752?guid=1651938917737&returnUrl=%2fresultado%2flistar%3fguid%3d1651938917737%26quantidadePaginas%3d1%26codigoRegistro%3d420752%23420752&i=1,sem orcid,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-5493-4560,,,,,sem orcid,45,sem orcid,sem orcid,Universidade Estadual de Campinas,Cecilia Mary Fischer Rubira Rubira,no info,Plinio Vilela,no info,,,,,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/372959?guid=1651938995137&returnUrl=%2fresultado%2flistar%3fguid%3d1651938995137%26quantidadePaginas%3d1%26codigoRegistro%3d372959%23372959&i=5,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,,,no info,46,Cecilia Mary Fischer Rubira Rubira,no info,no info,sem orcid,sem orcid,Eliane Martins,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/378324?guid=1651939062163&returnUrl=%2fresultado%2flistar%3fguid%3d1651939062163%26quantidadePaginas%3d1%26codigoRegistro%3d378324%23378324&i=4,orcid.org/0000-0002-3891-1593,orcid.org/0000-0003-4549-7105,sem orcid,,,,,Universidade Estadual de Campinas,47,mario cortes,no info,sem orcid,Cecilia Mary Fischer Rubira Rubira,no info,sem orcid,sem orcid,,,,,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/373192?guid=1651939118932&returnUrl=%2fresultado%2flistar%3fguid%3d1651939118932%26quantidadePaginas%3d1%26codigoRegistro%3d373192%23373192&i=1,sem orcid,orcid.org/0000-0002-8055-0680,sem orcid,,,,,sem orcid,48,sem orcid,sem orcid,sem orcid,Silvia Maria Fonseca Silveira Massruhá,Brazil,sem orcid,sem orcid,,,,,,,Embrapa Agricultura Digital,,,,,,,,,,,,,,,agricultura digital,Inteligência artificial,sistemas inteligentes,lógica fuzzy,internet das coisas,,,,,,,,,
49,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/385776?guid=1651939147615&returnUrl=%2fresultado%2flistar%3fguid%3d1651939147615%26quantidadePaginas%3d1%26codigoRegistro%3d385776%23385776&i=2,sem orcid,orcid.org/0000-0002-8055-0680,orcid.org/0000-0002-3891-1593,,,,,sem orcid,49,sem orcid,sem orcid,Universidade Estadual de Campinas,Silvia Maria Fonseca Silveira Massruhá,Brazil,mario cortes,no info,,,,,,,Embrapa Agricultura Digital,,,,,,,,,,,,,,,agricultura digital,Inteligência artificial,sistemas inteligentes,lógica fuzzy,internet das coisas,,,,,,,,,
50,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/404987?guid=1651939313402&returnUrl=%2fresultado%2flistar%3fguid%3d1651939313402%26quantidadePaginas%3d1%26codigoRegistro%3d404987%23404987&i=2,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-1180-2637,,,,,University of Campinas,50,Ricardo Dahab,Brazil,UNICAMP - University of Campinas,sem orcid,sem orcid,Edmundo Madeira,no info,,,Cryptography, Graph Theory,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/398431?guid=1651939358788&returnUrl=%2fresultado%2flistar%3fguid%3d1651939358788%26quantidadePaginas%3d1%26codigoRegistro%3d398431%23398431&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-3823-8941,,,,,University of Campinas,51,Ricardo Dahab,Brazil,University of Campinas,sem orcid,sem orcid,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,Cryptography, Graph Theory,,,sem orcid,,,,,,,,,,,,,fault tolerance,,,,,,,,,,,,,,,
52,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/399615?guid=1651939407209&returnUrl=%2fresultado%2flistar%3fguid%3d1651939407209%26quantidadePaginas%3d1%26codigoRegistro%3d399615%23399615&i=1,orcid.org/0000-0002-1914-5790,sem orcid,orcid.org/0000-0001-9772-263X,,,,,no info,52,Mario Jino,no info,Universidade Estadual de Campinas,sem orcid,sem orcid,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,,,,,sem orcid,,,,,,,,,,,,,machine learning,information visualization,,,,,,data science,,,,,,,,
53,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/423883?guid=1651939446476&returnUrl=%2fresultado%2flistar%3fguid%3d1651939446476%26quantidadePaginas%3d1%26codigoRegistro%3d423883%23423883&i=1,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-9241-2229,,,,,University of Campinas,53,Ricardo Dahab,Brazil,University of Campinas,Julio Cesar Lopez Hernandez,Mexico,Marco A. Amaral Henriques,no info,,,Cryptography, Graph Theory,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,
