tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953355?guid=1652546717193&returnUrl=%2fresultado%2flistar%3fguid%3d1652546717193%26quantidadePaginas%3d1%26codigoRegistro%3d953355%23953355&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0001-9756-378X,orcid.org/0000-0002-1067-6421,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/947723?guid=1652546767341&returnUrl=%2fresultado%2flistar%3fguid%3d1652546767341%26quantidadePaginas%3d1%26codigoRegistro%3d947723%23947723&i=1,orcid.org/0000-0001-6030-2682,sem orcid,orcid.org/0000-0002-1067-6421,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/950532?guid=1652546812514&returnUrl=%2fresultado%2flistar%3fguid%3d1652546812514%26quantidadePaginas%3d1%26codigoRegistro%3d950532%23950532&i=2,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-3738-6448,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/947734?guid=1652546846628&returnUrl=%2fresultado%2flistar%3fguid%3d1652546846628%26quantidadePaginas%3d1%26codigoRegistro%3d947734%23947734&i=1,sem orcid,sem orcid,orcid.org/0000-0003-4462-3325,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/951382?guid=1652546888549&returnUrl=%2fresultado%2flistar%3fguid%3d1652546888549%26quantidadePaginas%3d1%26codigoRegistro%3d951382%23951382&i=4,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-3372-3366,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/951350?guid=1652546943728&returnUrl=%2fresultado%2flistar%3fguid%3d1652546943728%26quantidadePaginas%3d1%26codigoRegistro%3d951350%23951350&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0002-9529-4253,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/951355?guid=1652547093586&returnUrl=%2fresultado%2flistar%3fguid%3d1652547093586%26quantidadePaginas%3d1%26codigoRegistro%3d951355%23951355&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-5015-2131,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/951342?guid=1652547139749&returnUrl=%2fresultado%2flistar%3fguid%3d1652547139749%26quantidadePaginas%3d1%26codigoRegistro%3d951342%23951342&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/950343?guid=1652547199871&returnUrl=%2fresultado%2flistar%3fguid%3d1652547199871%26quantidadePaginas%3d1%26codigoRegistro%3d950343%23950343&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2973-2232,orcid.org/0000-0002-4236-8212,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953592?guid=1652547225588&returnUrl=%2fresultado%2flistar%3fguid%3d1652547225588%26quantidadePaginas%3d1%26codigoRegistro%3d953592%23953592&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-1756-4852,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959748?guid=1652547274898&returnUrl=%2fresultado%2flistar%3fguid%3d1652547274898%26quantidadePaginas%3d1%26codigoRegistro%3d959748%23959748&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-4177-1322,orcid.org/0000-0002-4248-2744,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959651?guid=1652547361334&returnUrl=%2fresultado%2flistar%3fguid%3d1652547361334%26quantidadePaginas%3d1%26codigoRegistro%3d959651%23959651&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-9722-5764,orcid.org/0000-0003-0125-630X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/954851?guid=1652547489985&returnUrl=%2fresultado%2flistar%3fguid%3d1652547489985%26quantidadePaginas%3d1%26codigoRegistro%3d954851%23954851&i=2,orcid.org/0000-0003-4237-4281,sem orcid,orcid.org/0000-0002-8639-3532,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/956228?guid=1652547545574&returnUrl=%2fresultado%2flistar%3fguid%3d1652547545574%26quantidadePaginas%3d1%26codigoRegistro%3d956228%23956228&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-2312-7042,orcid.org/0000-0002-6023-5982,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/955540?guid=1652547593529&returnUrl=%2fresultado%2flistar%3fguid%3d1652547593529%26quantidadePaginas%3d1%26codigoRegistro%3d955540%23955540&i=7,orcid.org/0000-0002-3891-1593,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-5597-613X,,
