tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1384597,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0001-8824-3055,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1089524,orcid.org/0000-0001-7810-0595,orcid.org/0000-0001-8837-5912,orcid.org/0000-0001-9584-9477,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1379182,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-9539-6874,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1394327,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-0173-4140,orcid.org/0000-0002-8253-9004,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1393130,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-4701-2821,orcid.org/0000-0002-8803-0401,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1395639,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-2918-9778,orcid.org/0000-0002-1445-1238,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1394515,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-3754-9115,orcid.org/0000-0001-8597-4987,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1397411,orcid.org/0000-0003-0499-2564,orcid.org/0000-0001-9068-938X,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1398308,orcid.org/0000-0003-1783-4231,sem orcid,orcid.org/0000-0002-1534-5744,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1397017,orcid.org/0000-0002-2914-5380,orcid.org/0000-0002-3754-9115,orcid.org/0000-0003-2430-2030,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1394730,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-7714-2283,orcid.org/0000-0003-0499-2564,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1395407,orcid.org/0000-0002-8972-080X,orcid.org/0000-0001-5929-593X,orcid.org/0000-0003-1381-4794,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1397581,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-6494-7514,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1394645,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-4929-7258,orcid.org/0000-0002-8253-9004,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1398289,orcid.org/0000-0002-3754-9115,orcid.org/0000-0001-7878-4990,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1411984,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-1783-4231,orcid.org/0000-0003-0524-3274,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1409397,,orcid.org/0000-0002-8514-8033,orcid.org/0000-0002-3754-9115,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1409513,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0191-582X,orcid.org/0000-0002-4424-0888,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456436,orcid.org/0000-0002-3754-9115,orcid.org/0000-0001-9264-5380,orcid.org/0000-0003-0125-630X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456655,orcid.org/0000-0002-3754-9115,orcid.org/0000-0003-2111-1319,orcid.org/0000-0002-1756-4852,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1455804,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-7789-3359,orcid.org/0000-0002-8603-699X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456431,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-1534-5744,orcid.org/0000-0003-0993-2798,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456870,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-5652-0852,orcid.org/0000-0003-1214-3431,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456218,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-8253-9004,orcid.org/0000-0001-6994-8076,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1455893,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-3734-7679,orcid.org/0000-0001-7434-2642,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456876,orcid.org/0000-0002-9545-2098,orcid.org/0000-0001-9878-0380,orcid.org/0000-0002-9908-4384,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1498636,orcid.org/0000-0003-1783-4231,orcid.org/0000-0003-0290-0080,orcid.org/0000-0002-8253-9004,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456574,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-0325-1596,orcid.org/0000-0001-9504-496X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456454,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-5250-1785,orcid.org/0000-0003-1303-3760,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456454,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-5250-1785,orcid.org/0000-0003-1303-3760,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456697,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-0746-4014,orcid.org/0000-0003-1214-3431,orcid.org/0000-0003-3946-979X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456451,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-9242-2806,orcid.org/0000-0003-1303-3760,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1490236,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-1303-3760,orcid.org/0000-0001-5110-6639,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1499435,orcid.org/0000-0002-3754-9115,orcid.org/0000-0002-9666-3954,orcid.org/0000-0002-8786-3313,,,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1389654,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-1927-7398,orcid.org/0000-0002-7418-7918,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-0517-1496,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394271,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-4059-8700,orcid.org/0000-0003-3441-0887,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-1884-8830,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394227,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,orcid.org/0000-0002-0876-0501,orcid.org/0000-0003-0467-3133,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394764,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-8341-8183,orcid.org/0000-0003-2956-6326,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-3875-2211,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1390745,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-2608-4807,,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394578,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-2894-3911,orcid.org/0000-0001-9193-2302,orcid.org/0000-0002-3754-9115,orcid.org/0000-0003-1781-2630,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394128,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-2497-9140,orcid.org/0000-0002-3385-5780,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-5446-114X,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1397795,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-0087-6806,orcid.org/0000-0003-0117-9308,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-8182-5554,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1398630,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-5233-7639,orcid.org/0000-0001-9305-5323,orcid.org/0000-0002-2316-760X,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1398860,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-5494-319X,orcid.org/0000-0003-4886-7298,sem orcid,orcid.org/0000-0003-4832-9318,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1397455,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-0524-3274,orcid.org/0000-0002-5455-8910,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-9539-6874,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1410421,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-6342-428X,orcid.org/0000-0001-7412-5250,orcid.org/0000-0001-6332-0296,orcid.org/0000-0002-5652-0852
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1406201,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-7093-0244,orcid.org/0000-0001-8597-4987,orcid.org/0000-0003-1691-6243,orcid.org/0000-0002-1756-4852,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1408046,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-1840-2895,orcid.org/0000-0003-2970-2084,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-9545-2098,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1412466,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2440-0247,orcid.org/0000-0003-4286-5304,orcid.org/0000-0002-4641-0684,orcid.org/0000-0002-1941-6036,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1436248,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-5746-4154,orcid.org/0000-0002-8781-3914,orcid.org/0000-0002-8111-1719,orcid.org/0000-0002-2407-0981,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1456019,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0158-7432,sem orcid,orcid.org/0000-0001-9722-5764,orcid.org/0000-0002-8727-4500,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1456447,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-4929-7258,orcid.org/0000-0003-1574-0362,orcid.org/0000-0002-1534-5744,orcid.org/0000-0002-3754-9115,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1456290,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-1310-0997,orcid.org/0000-0001-7048-6585,orcid.org/0000-0001-9241-2229,orcid.org/0000-0001-9577-9309,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1456842,orcid.org/0000-0002-9529-4253,orcid.org/0000-0002-2042-4623,orcid.org/0000-0001-9924-0079,orcid.org/0000-0002-1649-6843,orcid.org/0000-0001-7434-2642,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1490425,orcid.org/0000-0002-4830-5298,orcid.org/0009-0000-2453-6617,orcid.org/0000-0002-1736-544X,orcid.org/0000-0002-2431-8457,orcid.org/0000-0001-5804-950X,,
