tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/973821?guid=1652562378704&returnUrl=%2fresultado%2flistar%3fguid%3d1652562378704%26quantidadePaginas%3d1%26codigoRegistro%3d973821%23973821&i=4,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-0145-5571,orcid.org/0000-0001-9772-263X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974397?guid=1652562411769&returnUrl=%2fresultado%2flistar%3fguid%3d1652562411769%26quantidadePaginas%3d1%26codigoRegistro%3d974397%23974397&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-4177-1322,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/975456?guid=1652562493102&returnUrl=%2fresultado%2flistar%3fguid%3d1652562493102%26quantidadePaginas%3d1%26codigoRegistro%3d975456%23975456&i=2,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-8309-6367,orcid.org/0000-0001-8264-5811,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/976520?guid=1652562530580&returnUrl=%2fresultado%2flistar%3fguid%3d1652562530580%26quantidadePaginas%3d1%26codigoRegistro%3d976520%23976520&i=3,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-3441-0887,orcid.org/0000-0002-6023-5982,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974502?guid=1652562569851&returnUrl=%2fresultado%2flistar%3fguid%3d1652562569851%26quantidadePaginas%3d1%26codigoRegistro%3d974502%23974502&i=6,orcid.org/0000-0003-1001-082X,orcid.org/0000-0002-5320-9209,orcid.org/0000-0001-6030-2682,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974962?guid=1652562613244&returnUrl=%2fresultado%2flistar%3fguid%3d1652562613244%26quantidadePaginas%3d1%26codigoRegistro%3d974962%23974962&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-0375-1657,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/975469?guid=1652562643802&returnUrl=%2fresultado%2flistar%3fguid%3d1652562643802%26quantidadePaginas%3d1%26codigoRegistro%3d975469%23975469&i=1,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-3333-6822,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/976168?guid=1652562679149&returnUrl=%2fresultado%2flistar%3fguid%3d1652562679149%26quantidadePaginas%3d1%26codigoRegistro%3d976168%23976168&i=2,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974575?guid=1652562727284&returnUrl=%2fresultado%2flistar%3fguid%3d1652562727284%26quantidadePaginas%3d1%26codigoRegistro%3d974575%23974575&i=1,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-0171-4430,orcid.org/0000-0002-8972-080X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978844?guid=1652562806408&returnUrl=%2fresultado%2flistar%3fguid%3d1652562806408%26quantidadePaginas%3d1%26codigoRegistro%3d978844%23978844&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-1649-6843,orcid.org/0000-0002-8972-080X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974401?guid=1652562837496&returnUrl=%2fresultado%2flistar%3fguid%3d1652562837496%26quantidadePaginas%3d1%26codigoRegistro%3d974401%23974401&i=1,orcid.org/0000-0002-2457-0783,orcid.org/0000-0001-9241-2229,orcid.org/0000-0001-5685-8004,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978836?guid=1652562868929&returnUrl=%2fresultado%2flistar%3fguid%3d1652562868929%26quantidadePaginas%3d1%26codigoRegistro%3d978836%23978836&i=1,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-6023-5982,sem orcid,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978685?guid=1652562922939&returnUrl=%2fresultado%2flistar%3fguid%3d1652562922939%26quantidadePaginas%3d1%26codigoRegistro%3d978685%23978685&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-6023-5982,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978934?guid=1652562963683&returnUrl=%2fresultado%2flistar%3fguid%3d1652562963683%26quantidadePaginas%3d1%26codigoRegistro%3d978934%23978934&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-6494-7514,orcid.org/0000-0001-9772-263X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/979031?guid=1652562994382&returnUrl=%2fresultado%2flistar%3fguid%3d1652562994382%26quantidadePaginas%3d1%26codigoRegistro%3d979031%23979031&i=2,orcid.org/0000-0002-1067-6421,orcid.org/0000-0001-6030-2682,orcid.org/0000-0003-2998-6785,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978688?guid=1652563028026&returnUrl=%2fresultado%2flistar%3fguid%3d1652563028026%26quantidadePaginas%3d1%26codigoRegistro%3d978688%23978688&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/979564?guid=1652563160842&returnUrl=%2fresultado%2flistar%3fguid%3d1652563160842%26quantidadePaginas%3d1%26codigoRegistro%3d979564%23979564&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-3692-2202,orcid.org/0000-0003-4290-6508,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/980693?guid=1652563194469&returnUrl=%2fresultado%2flistar%3fguid%3d1652563194469%26quantidadePaginas%3d1%26codigoRegistro%3d980693%23980693&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-2075-3363,orcid.org/0000-0002-1756-4852,,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/968422?guid=1652563234659&returnUrl=%2fresultado%2flistar%3fguid%3d1652563234659%26quantidadePaginas%3d1%26codigoRegistro%3d968422%23968422&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0002-0483-3435,orcid.org/0000-0003-4861-7061,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-1756-4852,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/971624?guid=1652563274415&returnUrl=%2fresultado%2flistar%3fguid%3d1652563274415%26quantidadePaginas%3d1%26codigoRegistro%3d971624%23971624&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-4627-9743,orcid.org/0009-0000-2453-6617,orcid.org/0000-0003-3580-5178,orcid.org/0000-0003-4427-652X,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/971451?guid=1652563318837&returnUrl=%2fresultado%2flistar%3fguid%3d1652563318837%26quantidadePaginas%3d1%26codigoRegistro%3d971451%23971451&i=1,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-9955-5721,sem orcid,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-9529-4253,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/972702?guid=1652563358849&returnUrl=%2fresultado%2flistar%3fguid%3d1652563358849%26quantidadePaginas%3d1%26codigoRegistro%3d972702%23972702&i=3,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-6946-9670,orcid.org/0000-0002-3948-305X,orcid.org/0000-0002-1649-6843,orcid.org/0000-0003-2998-6785,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/973248?guid=1652563433737&returnUrl=%2fresultado%2flistar%3fguid%3d1652563433737%26quantidadePaginas%3d1%26codigoRegistro%3d973248%23973248&i=3,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0003-4861-7061,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-6023-5982,
