,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador5_filiação,avaliador4_filiação,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978836?guid=1652562868929&returnUrl=%2fresultado%2flistar%3fguid%3d1652562868929%26quantidadePaginas%3d1%26codigoRegistro%3d978836%23978836&i=1,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-6023-5982,sem orcid,,,,University of Campinas,30,University of Campinas,sem orcid,sem orcid,Paulo de Geus,Brazil,Computer Security,,,,,sem orcid,Islene Calciolari Garcia,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978685?guid=1652562922939&returnUrl=%2fresultado%2flistar%3fguid%3d1652562922939%26quantidadePaginas%3d1%26codigoRegistro%3d978685%23978685&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-6023-5982,,,,Universidade Estadual de Campinas,31,sem orcid,Islene Calciolari Garcia,no info,Nelson L. S. da Fonseca,no info,,,,,,University of Campinas,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978934?guid=1652562963683&returnUrl=%2fresultado%2flistar%3fguid%3d1652562963683%26quantidadePaginas%3d1%26codigoRegistro%3d978934%23978934&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-6494-7514,orcid.org/0000-0001-9772-263X,,,University of Campinas,32,Universidade Estadual de Campinas,João Paulo Papa,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,,no info,Esther Luna Colombini,no info,machine learning, image processing, computervision, meta-heuristics,,Ricardo Torres,Netherlands,,,,,Universidade Estadual de Campinas,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/979031?guid=1652562994382&returnUrl=%2fresultado%2flistar%3fguid%3d1652562994382%26quantidadePaginas%3d1%26codigoRegistro%3d979031%23979031&i=2,orcid.org/0000-0002-1067-6421,orcid.org/0000-0001-6030-2682,orcid.org/0000-0003-2998-6785,,,,no info,33,University of Campinas,LUIS MEIRA,Brazil,Flávio K. Miyazawa,no info,,,,,,State University of Campinas,Eduardo C. Xavier,Brazil,optimization,Algorithms,Petroleum engineering,graphs,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978688?guid=1652563028026&returnUrl=%2fresultado%2flistar%3fguid%3d1652563028026%26quantidadePaginas%3d1%26codigoRegistro%3d978688%23978688&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,,,,Universidade Estadual de Campinas,34,sem orcid,Edmundo Madeira,no info,Nelson L. S. da Fonseca,no info,,,,,,UNICAMP - University of Campinas,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/979564?guid=1652563160842&returnUrl=%2fresultado%2flistar%3fguid%3d1652563160842%26quantidadePaginas%3d1%26codigoRegistro%3d979564%23979564&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-3692-2202,orcid.org/0000-0003-4290-6508,,,,no info,35,no info,Eliane Martins,no info,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,no info,Delano Beder,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/980693?guid=1652563194469&returnUrl=%2fresultado%2flistar%3fguid%3d1652563194469%26quantidadePaginas%3d1%26codigoRegistro%3d980693%23980693&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-2075-3363,orcid.org/0000-0002-1756-4852,,,,Universidade Estadual de Campinas,36,Universidade Federal de Minas Gerais,André Santanchè,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,Universidade Estadual de Campinas,Marcos André Gonçalves,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/968422?guid=1652563234659&returnUrl=%2fresultado%2flistar%3fguid%3d1652563234659%26quantidadePaginas%3d1%26codigoRegistro%3d968422%23968422&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0002-0483-3435,orcid.org/0000-0003-4861-7061,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-1756-4852,,no info,37,no info,Aparecido Nilceu Marana,no info,Neucimar Leite,no info,,,,,,Universidade Estadual Paulista Júlio de Mesquita Filho,Leyza Dorini,no info,,,,,,Ricardo Torres,Netherlands,André Santanchè,no info,,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/971624?guid=1652563274415&returnUrl=%2fresultado%2flistar%3fguid%3d1652563274415%26quantidadePaginas%3d1%26codigoRegistro%3d971624%23971624&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-4627-9743,orcid.org/0009-0000-2453-6617,orcid.org/0000-0003-3580-5178,orcid.org/0000-0003-4427-652X,,Universidade Estadual de Campinas,38,The University of Iowa,Amanda Meincke Melo,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,no info,Juan Pablo Hourcade,United States,,,,,,Marcos Augusto Francisco Borges,Brazil,Alessandro Arpetti,no info,,no info,Unicamp,,,,,,,,,,Computational Thinking; Creative Learning; Serious Games; Lean IT; Agile; Entrepeneurship,,,,,,,,,
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/971451?guid=1652563318837&returnUrl=%2fresultado%2flistar%3fguid%3d1652563318837%26quantidadePaginas%3d1%26codigoRegistro%3d971451%23971451&i=1,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-9955-5721,sem orcid,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-9529-4253,,Universidade Estadual de Campinas,39,no info,sem orcid,sem orcid,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,sem orcid,Alexandre Cunha,no info,,,,,,Fábio Usberti,no info,Pedro J. de Rezende,no info,,University of Campinas,State University of Campinas,,,,,,,,,,,,,,,,,,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/972702?guid=1652563358849&returnUrl=%2fresultado%2flistar%3fguid%3d1652563358849%26quantidadePaginas%3d1%26codigoRegistro%3d972702%23972702&i=3,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-6946-9670,orcid.org/0000-0002-3948-305X,orcid.org/0000-0002-1649-6843,orcid.org/0000-0003-2998-6785,,no info,40,Universidade Federal de São Paulo,Reinaldo Morabito,Brazil,Flávio K. Miyazawa,no info,,,,,,Universidade Federal de São Carlos,"Yanasse, H.H.",Brazil,,,,,,Kelly Poldi,no info,LUIS MEIRA,Brazil,,State University of Campinas,Universidade Federal de São Paulo,,,,,,,,,,,,,,,optimization,Algorithms,Petroleum engineering,graphs,
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/973248?guid=1652563433737&returnUrl=%2fresultado%2flistar%3fguid%3d1652563433737%26quantidadePaginas%3d1%26codigoRegistro%3d973248%23973248&i=3,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0003-4861-7061,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-6023-5982,,UNICAMP - University of Campinas,41,sem orcid,Aparecido Nilceu Marana,no info,Edmundo Madeira,no info,,,,,,Universidade Estadual Paulista Júlio de Mesquita Filho,sem orcid,sem orcid,,,,,,Jacques Wainer,Brazil,Islene Calciolari Garcia,no info,,University of Campinas,no info,,,,,,,,,,,,,,,,,,,
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/971900?guid=1652563466773&returnUrl=%2fresultado%2flistar%3fguid%3d1652563466773%26quantidadePaginas%3d1%26codigoRegistro%3d971900%23971900&i=2,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-9241-2229,orcid.org/0000-0003-2973-2232,orcid.org/0000-0001-9722-5764,,Universidade Estadual de Campinas,42,University of Campinas,Marco A. Amaral Henriques,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,University of Campinas,Ricardo Dahab,Brazil,,,,,,Erickson R. Nascimento,Brazil,Nina S. T. Hirata,no info,,Universidade de São Paulo,Universidade Federal de Minas Gerais,,,Cryptography, Graph Theory,,,,,,Computer Vision,Pattern Recognition,Underwater Imaging,,,Machine Learning, Deep learning, Pattern Recognition, Image analysis, Image Processing
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979323?guid=1652563506083&returnUrl=%2fresultado%2flistar%3fguid%3d1652563506083%26quantidadePaginas%3d1%26codigoRegistro%3d979323%23979323&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-6305-9059,orcid.org/0000-0001-5746-4154,sem orcid,orcid.org/0000-0003-3109-4305,orcid.org/0000-0002-1067-6421,UNICAMP - University of Campinas,43,Universidade Estadual de Campinas,Alfredo Goldman,no info,Edmundo Madeira,no info,,,,,,no info,Luiz Fernando Bittencourt,no info,,,,,,sem orcid,sem orcid,Christian Esteve Rothenberg,no info,no info,Universidade Estadual de Campinas (UNICAMP),sem orcid,Flávio K. Miyazawa,no info,,,,,,,,,,,,,,,,,
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/977097?guid=1652563542562&returnUrl=%2fresultado%2flistar%3fguid%3d1652563542562%26quantidadePaginas%3d1%26codigoRegistro%3d977097%23977097&i=2,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-4568-8040,,University of Campinas,44,sem orcid,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,sem orcid,sem orcid,sem orcid,,,,,,Julio Cesar Lopez Hernandez,Mexico,Antonio Campello,no info,,no info,no info,,,,,,,,,,,,,,,,,,,
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/972970?guid=1652563585136&returnUrl=%2fresultado%2flistar%3fguid%3d1652563585136%26quantidadePaginas%3d1%26codigoRegistro%3d972970%23972970&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-4929-7258,orcid.org/0000-0003-3861-7260,,Universidade Estadual de Campinas,45,Universidade Estadual de Campinas,Sandra Avila,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,Universidade Estadual de Campinas,Esther Luna Colombini,no info,,,,,,Agma Traina,no info,Roberto Hirata Jr.,Brazil,,Universidade de São Paulo,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,,,,,,,,,,,,,,,,,,,
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/973034?guid=1652563634929&returnUrl=%2fresultado%2flistar%3fguid%3d1652563634929%26quantidadePaginas%3d1%26codigoRegistro%3d973034%23973034&i=4,orcid.org/0000-0001-5685-8004,sem orcid,sem orcid,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-4248-2744,,no info,46,sem orcid,sem orcid,sem orcid,Siome Goldenstein,no info,,,,,,sem orcid,sem orcid,sem orcid,,,,,,Ricardo Torres,Netherlands,Heiko Hornung,no info,,no info,Universidade Estadual de Campinas,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/976389?guid=1652563660947&returnUrl=%2fresultado%2flistar%3fguid%3d1652563660947%26quantidadePaginas%3d1%26codigoRegistro%3d976389%23976389&i=1,orcid.org/0000-0001-6305-9059,orcid.org/0000-0002-7350-8599,sem orcid,sem orcid,orcid.org/0000-0002-1180-2637,,Universidade Estadual de Campinas,47,Universidade Federal de Campina Grande,sem orcid,sem orcid,Luiz Fernando Bittencourt,no info,,,,,,sem orcid,Andrey Brito,no info,,,,,,sem orcid,sem orcid,Edmundo Madeira,no info,,UNICAMP - University of Campinas,sem orcid,,,,,,,,,,,,,,,,,,,
48,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/974513?guid=1652563701116&returnUrl=%2fresultado%2flistar%3fguid%3d1652563701116%26quantidadePaginas%3d1%26codigoRegistro%3d974513%23974513&i=2,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6822-931X,sem orcid,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-4763-3046,,State University of Campinas,48,University of Brasilia,sem orcid,sem orcid,Joao Meidanis,no info,,,,,,sem orcid,Maria Emilia Walter,Brazil,,,,,,Zanoni Dias,Brazil,Ulisses Dias,no info,,University of Campinas,University of Campinas,,,bioinformatics, non-coding RNAs, genomics, transcriptomics, genome rearrangements,,,,,,,,,,,,
49,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/974200?guid=1652563751776&returnUrl=%2fresultado%2flistar%3fguid%3d1652563751776%26quantidadePaginas%3d1%26codigoRegistro%3d974200%23974200&i=4,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-2112-4806,orcid.org/0000-0003-1449-8834,orcid.org/0000-0002-5652-0852,orcid.org/0000-0001-9772-263X,,Universidade Estadual de Campinas,49,no info,William Schwartz,Brazil,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,Universidade Federal de Minas Gerais,Cristina Vasconcelos,no info,Computer Vision,Machine Learning,Smart Surveillance,Biometrics,,Roberto Lotufo,no info,Ricardo Torres,Netherlands,,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,,,,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science
50,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979457?guid=1652563781046&returnUrl=%2fresultado%2flistar%3fguid%3d1652563781046%26quantidadePaginas%3d1%26codigoRegistro%3d979457%23979457&i=4,orcid.org/0000-0001-7878-4990,orcid.org/0000-0002-5945-0845,orcid.org/0000-0001-9174-2816,orcid.org/0000-0003-2070-2061,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-8972-080X,State University of Campinas,50,Universidade Estadual de Campinas,Joao C. Setubal,no info,Joao Meidanis,no info,,,,,,Universidade de Sao Paulo,Cid de Souza,Brazil,Bioinformatics, Genomics, Metagenomics, Microbiomes, Transcriptomics,sr matioli,Brazil,Zanoni Dias,Brazil,State University of Campinas,University of Campinas,Universidade de São Paulo,Fábio Usberti,no info,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,, Computational Biology,,,,,,,,,,
51,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/976398?guid=1652563828590&returnUrl=%2fresultado%2flistar%3fguid%3d1652563828590%26quantidadePaginas%3d1%26codigoRegistro%3d976398%23976398&i=1,orcid.org/0000-0002-3159-4839,sem orcid,sem orcid,orcid.org/0000-0003-4237-4281,orcid.org/0000-0003-4462-3325,,State University of Campinas,51,sem orcid,sem orcid,sem orcid,Jorge Stolfi,no info,,,,,,sem orcid,sem orcid,sem orcid,,,,,,C. N. Campos,Brazil,Orlando Lee,no info,,University of Campinas,University of Campinas,,,,,,,,,,,,,,,,,,,
52,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/976392?guid=1652563866847&returnUrl=%2fresultado%2flistar%3fguid%3d1652563866847%26quantidadePaginas%3d1%26codigoRegistro%3d976392%23976392&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-9957-5861,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9539-6874,,Universidade Estadual de Campinas,52,Universidade Federal do Rio Grande do Sul,Fernando Magno Quintão Pereira,Brazil,Edson Borin,no info,,,,,,Universidade Federal de Minas Gerais,Philippe Navaux,Brazil,Compilers, Programming Languages,,,,Rodolfo Azevedo,Brazil,Sandro Rigo,Brazil,,Universidade Estadual de Campinas,UNICAMP,,,,,,,,,,,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,
53,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/983291?guid=1652563902705&returnUrl=%2fresultado%2flistar%3fguid%3d1652563902705%26quantidadePaginas%3d1%26codigoRegistro%3d983291%23983291&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-3948-305X,orcid.org/0000-0003-3910-8804,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-8972-080X,,no info,53,Universidade Federal de São Carlos,Socorro Rangel,no info,Flávio K. Miyazawa,no info,,,,,,UNESP - Universidade Estadual Paulista,Reinaldo Morabito,Brazil,,,,,,Eduardo C. Xavier,Brazil,Fábio Usberti,no info,,State University of Campinas,University of Campinas,,,,,,,,,,,,,,,,,,,
54,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979994?guid=1652563940662&returnUrl=%2fresultado%2flistar%3fguid%3d1652563940662%26quantidadePaginas%3d1%26codigoRegistro%3d979994%23979994&i=4,orcid.org/0000-0001-7358-6696,,,,,,Universidade Estadual de Campinas,54,,,,"AMORIM, Raul Reis",Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/978692?guid=1652564002435&returnUrl=%2fresultado%2flistar%3fguid%3d1652564002435%26quantidadePaginas%3d1%26codigoRegistro%3d978692%23978692&i=2,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-8229-3139,orcid.org/0000-0003-2962-2033,orcid.org/0000-0002-8105-3627,orcid.org/0000-0002-1067-6421,,Universidade Estadual de Campinas,55,Universidade de São Paulo,Manoel Campêlo,Brazil,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,Universidade Federal do Ceará,Yoshiko Wakabayashi,Brazil,mathematical optimization,integer programming,combinatorial optimization,,,Carlile Lavor,no info,Flávio K. Miyazawa,no info,,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,
56,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979352?guid=1652564037422&returnUrl=%2fresultado%2flistar%3fguid%3d1652564037422%26quantidadePaginas%3d1%26codigoRegistro%3d979352%23979352&i=2,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-2592-3664,orcid.org/0000-0001-6816-208X,orcid.org/0000-0002-6540-8686,orcid.org/0000-0001-9241-2229,,no info,56,Universidade Tecnológica Federal do Paraná,Kalinka Branco,no info,Eliane Martins,no info,,,,,,no info,Carlos Maziero,Brazil,,,,,,Paulo de Geus,Brazil,Marco A. Amaral Henriques,no info,,University of Campinas,University of Campinas,,,Operating Systems,Computer Security,Distributed Systems,,,,,Computer Security,,,,,,,,,
57,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979636?guid=1652564085184&returnUrl=%2fresultado%2flistar%3fguid%3d1652564085184%26quantidadePaginas%3d1%26codigoRegistro%3d979636%23979636&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0002-5259-2859,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-8972-080X,,University of Campinas,57,University of Brasilia,Cristina G. Fernandes,no info,Zanoni Dias,Brazil,,,,,,University of Sao Paulo,Maria Emilia Walter,Brazil,approximation algorithms,,,,,Eduardo C. Xavier,Brazil,Fábio Usberti,no info,,State University of Campinas,University of Campinas,,,bioinformatics, non-coding RNAs, genomics, transcriptomics, genome rearrangements,,,,,,,,,,,,
58,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979871?guid=1652564139027&returnUrl=%2fresultado%2flistar%3fguid%3d1652564139027%26quantidadePaginas%3d1%26codigoRegistro%3d979871%23979871&i=1,orcid.org/0000-0002-9539-6874,sem orcid,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-2457-0783,,Universidade Estadual de Campinas,58,sem orcid,Fernando Magno Quintão Pereira,Brazil,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,Universidade Federal de Minas Gerais,sem orcid,sem orcid,Compilers, Programming Languages,,,,Paulo de Geus,Brazil,Diego F. Aranha,Denmark,,Aarhus University,University of Campinas,,,,,,,,,,Computer Security,,,,,Cryptography, Computer Security,,,
59,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979360?guid=1652564177800&returnUrl=%2fresultado%2flistar%3fguid%3d1652564177800%26quantidadePaginas%3d1%26codigoRegistro%3d979360%23979360&i=1,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,,,no info,59,University of Campinas,sem orcid,sem orcid,Julio Cesar Lopez Hernandez,Mexico,,,,,,sem orcid,Ricardo Dahab,Brazil,,,,,,sem orcid,sem orcid,,,,,sem orcid,,,Cryptography, Graph Theory,,,,,,,,,,,,,,,
60,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979996?guid=1652564221660&returnUrl=%2fresultado%2flistar%3fguid%3d1652564221660%26quantidadePaginas%3d1%26codigoRegistro%3d979996%23979996&i=3,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-8824-3055,orcid.org/0000-0002-9992-8540,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-5374-2521,,Universidade Estadual de Campinas,60,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",Márcio Castro,Brazil,Guido Araujo,no info,,,,,,Inria Centre de Recherche Grenoble Rhone-Alpes,Alexandro Baldassin,Brazil,Parallel and Distributed Computing,High Performance Computing,Parallel Architectures,Parallel Programming Languages,,Sandro Rigo,Brazil,Emilio Francesquini,Brazil,,no info,Universidade Estadual de Campinas,,,Computer architecture,Parallel Programming,Transactional Memory,Persistent Memory,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,,,,,
