,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador5_filiação,avaliador4_filiação,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/971449?guid=1652562073372&returnUrl=%2fresultado%2flistar%3fguid%3d1652562073372%26quantidadePaginas%3d1%26codigoRegistro%3d971449%23971449&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6731-1482,,,,University of Campinas,10,sem orcid,Julio Cesar Lopez Hernandez,Mexico,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/972829?guid=1652562115700&returnUrl=%2fresultado%2flistar%3fguid%3d1652562115700%26quantidadePaginas%3d1%26codigoRegistro%3d972829%23972829&i=1,orcid.org/0000-0002-8972-080X,orcid.org/0000-0001-6030-2682,orcid.org/0000-0003-4931-9891,,,,State University of Campinas,11,University of Campinas,José Federico Vizcaino Gonzalez,no info,Fábio Usberti,no info,,,,,,Universidade Estadual Paulista,Eduardo C. Xavier,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/973253?guid=1652562153402&returnUrl=%2fresultado%2flistar%3fguid%3d1652562153402%26quantidadePaginas%3d1%26codigoRegistro%3d973253%23973253&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0003-0467-3133,,,,Universidade Estadual de Campinas,12,sem orcid,Esther Luna Colombini,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,Universidade Estadual de Campinas,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/972911?guid=1652562196947&returnUrl=%2fresultado%2flistar%3fguid%3d1652562196947%26quantidadePaginas%3d1%26codigoRegistro%3d972911%23972911&i=2,orcid.org/0000-0002-2457-0783,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-4113-7543,,,,Aarhus University,13,no info,Rafael Misoczki,no info,Diego F. Aranha,Denmark,Cryptography, Computer Security,,,,no info,Julio Cesar Lopez Hernandez,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/973327?guid=1652562223514&returnUrl=%2fresultado%2flistar%3fguid%3d1652562223514%26quantidadePaginas%3d1%26codigoRegistro%3d973327%23973327&i=5,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-4128-5415,,,,Universidade Estadual de Campinas,14,Universidade Estadual de Campinas,Fernando J. Von Zuben,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,,,,,,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/972932?guid=1652562256200&returnUrl=%2fresultado%2flistar%3fguid%3d1652562256200%26quantidadePaginas%3d1%26codigoRegistro%3d972932%23972932&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-5426-7083,orcid.org/0000-0001-9772-263X,,,,no info,15,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,Siome Goldenstein,no info,,,,,,Universidade Estadual de Campinas,Milton Shoiti Misuta,no info,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974198?guid=1652562287539&returnUrl=%2fresultado%2flistar%3fguid%3d1652562287539%26quantidadePaginas%3d1%26codigoRegistro%3d974198%23974198&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-4059-8700,,,,Universidade Estadual de Campinas,16,University of Campinas,Vânia Paula de Almeida Neris,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,Federal University of São Carlos,Islene Calciolari Garcia,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974392?guid=1652562317063&returnUrl=%2fresultado%2flistar%3fguid%3d1652562317063%26quantidadePaginas%3d1%26codigoRegistro%3d974392%23974392&i=1,orcid.org/0000-0002-8972-080X,orcid.org/0000-0003-1001-082X,orcid.org/0000-0002-1649-6843,,,,State University of Campinas,17,University of Campinas,Kelly Poldi,no info,Fábio Usberti,no info,,,,,,Universidade Federal de São Paulo,Lehilton Pedrosa,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/973537?guid=1652562336438&returnUrl=%2fresultado%2flistar%3fguid%3d1652562336438%26quantidadePaginas%3d1%26codigoRegistro%3d973537%23973537&i=1,orcid.org/0000-0001-6305-9059,orcid.org/0000-0002-5455-8910,orcid.org/0000-0002-1180-2637,,,,Universidade Estadual de Campinas,18,Federal University of São Carlos,Edmundo Madeira,no info,Luiz Fernando Bittencourt,no info,,,,,,UNICAMP - University of Campinas,Fabio Verdi,Brazil,,,,,,,,,,,,,,,Computer Networks, SDN, Cloud computing, monitoring, management, virtualizatoin,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/973821?guid=1652562378704&returnUrl=%2fresultado%2flistar%3fguid%3d1652562378704%26quantidadePaginas%3d1%26codigoRegistro%3d973821%23973821&i=4,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-0145-5571,orcid.org/0000-0001-9772-263X,,,,Universidade Estadual de Campinas,19,Universidade de São Paulo,Ricardo Torres,Netherlands,André Santanchè,no info,,,,,,Universidade Estadual de Campinas,Francisco Rodrigues,Brazil,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,Complex Networks,Complex Systems,Machine Learning,,,,,,,,,,,,,,
