tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/867060?guid=1652465914739&returnUrl=%2fresultado%2flistar%3fguid%3d1652465914739%26quantidadePaginas%3d1%26codigoRegistro%3d867060%23867060&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0003-4804-5788,orcid.org/0000-0003-2608-4807,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/855492?guid=1652466058005&returnUrl=%2fresultado%2flistar%3fguid%3d1652466058005%26quantidadePaginas%3d1%26codigoRegistro%3d855492%23855492&i=2,orcid.org/0000-0001-8309-6367,orcid.org/0000-0002-3159-4839,orcid.org/0000-0003-2111-1319,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/854808?guid=1652466127680&returnUrl=%2fresultado%2flistar%3fguid%3d1652466127680%26quantidadePaginas%3d1%26codigoRegistro%3d854808%23854808&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-2075-3363,orcid.org/0000-0002-6023-5982,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/909776?guid=1652466165477&returnUrl=%2fresultado%2flistar%3fguid%3d1652466165477%26quantidadePaginas%3d1%26codigoRegistro%3d909776%23909776&i=1,orcid.org/0000-0001-5685-8004,sem orcid,orcid.org/0000-0001-8309-6367,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/866199?guid=1652466216774&returnUrl=%2fresultado%2flistar%3fguid%3d1652466216774%26quantidadePaginas%3d1%26codigoRegistro%3d866199%23866199&i=2,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,orcid.org/0000-0002-4236-8212,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/866194?guid=1652466377909&returnUrl=%2fresultado%2flistar%3fguid%3d1652466377909%26quantidadePaginas%3d1%26codigoRegistro%3d866194%23866194&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0001-8309-6367,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/875359?guid=1652466427736&returnUrl=%2fresultado%2flistar%3fguid%3d1652466427736%26quantidadePaginas%3d1%26codigoRegistro%3d875359%23875359&i=1,orcid.org/0000-0001-7878-4990,sem orcid,orcid.org/0000-0003-3333-6822,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/866725?guid=1652466519805&returnUrl=%2fresultado%2flistar%3fguid%3d1652466519805%26quantidadePaginas%3d1%26codigoRegistro%3d866725%23866725&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-8264-5811,orcid.org/0000-0001-9772-263X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/867041?guid=1652466681594&returnUrl=%2fresultado%2flistar%3fguid%3d1652466681594%26quantidadePaginas%3d1%26codigoRegistro%3d867041%23867041&i=1,sem orcid,sem orcid,orcid.org/0000-0002-9539-6874,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/869588?guid=1652467292928&returnUrl=%2fresultado%2flistar%3fguid%3d1652467292928%26quantidadePaginas%3d1%26codigoRegistro%3d869588%23869588&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0002-1756-4852,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/919651?guid=1652467374144&returnUrl=%2fresultado%2flistar%3fguid%3d1652467374144%26quantidadePaginas%3d1%26codigoRegistro%3d919651%23919651&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0001-8309-6367,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/867009?guid=1652467497883&returnUrl=%2fresultado%2flistar%3fguid%3d1652467497883%26quantidadePaginas%3d1%26codigoRegistro%3d867009%23867009&i=7,orcid.org/0000-0002-5945-0845,orcid.org/0000-0003-4804-5788,orcid.org/0000-0002-9529-4253,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/895731?guid=1652467603635&returnUrl=%2fresultado%2flistar%3fguid%3d1652467603635%26quantidadePaginas%3d1%26codigoRegistro%3d895731%23895731&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7561-5582,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/875160?guid=1652468223760&returnUrl=%2fresultado%2flistar%3fguid%3d1652468223760%26quantidadePaginas%3d1%26codigoRegistro%3d875160%23875160&i=1,orcid.org/0000-0002-4236-8212,sem orcid,orcid.org/0000-0001-9772-263X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/879248?guid=1652468689144&returnUrl=%2fresultado%2flistar%3fguid%3d1652468689144%26quantidadePaginas%3d1%26codigoRegistro%3d879248%23879248&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-2162-6523,orcid.org/0000-0003-2046-602X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/911607?guid=1652469138257&returnUrl=%2fresultado%2flistar%3fguid%3d1652469138257%26quantidadePaginas%3d1%26codigoRegistro%3d911607%23911607&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0125-630X,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/877881?guid=1652469197177&returnUrl=%2fresultado%2flistar%3fguid%3d1652469197177%26quantidadePaginas%3d1%26codigoRegistro%3d877881%23877881&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0003-1752-6255,orcid.org/0000-0002-8803-0401,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/900635?guid=1652469233967&returnUrl=%2fresultado%2flistar%3fguid%3d1652469233967%26quantidadePaginas%3d1%26codigoRegistro%3d900635%23900635&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0001-9772-263X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/902622?guid=1652469274752&returnUrl=%2fresultado%2flistar%3fguid%3d1652469274752%26quantidadePaginas%3d1%26codigoRegistro%3d902622%23902622&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0002-7860-9575,orcid.org/0000-0001-5201-1244,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/903641?guid=1652469325719&returnUrl=%2fresultado%2flistar%3fguid%3d1652469325719%26quantidadePaginas%3d1%26codigoRegistro%3d903641%23903641&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-0804-1790,orcid.org/0000-0003-0683-7672,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/899631?guid=1652469391661&returnUrl=%2fresultado%2flistar%3fguid%3d1652469391661%26quantidadePaginas%3d1%26codigoRegistro%3d899631%23899631&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0001-5295-3514,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/899670?guid=1652469429063&returnUrl=%2fresultado%2flistar%3fguid%3d1652469429063%26quantidadePaginas%3d1%26codigoRegistro%3d899670%23899670&i=1,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0002-4830-5298,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/905908?guid=1652469491004&returnUrl=%2fresultado%2flistar%3fguid%3d1652469491004%26quantidadePaginas%3d1%26codigoRegistro%3d905908%23905908&i=1,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-9242-2806,orcid.org/0000-0002-6731-1482,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/895763?guid=1652469644342&returnUrl=%2fresultado%2flistar%3fguid%3d1652469644342%26quantidadePaginas%3d1%26codigoRegistro%3d895763%23895763&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0003-2046-602X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/961353?guid=1652469681753&returnUrl=%2fresultado%2flistar%3fguid%3d1652469681753%26quantidadePaginas%3d1%26codigoRegistro%3d961353%23961353&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-4549-7105,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/900666?guid=1652469743390&returnUrl=%2fresultado%2flistar%3fguid%3d1652469743390%26quantidadePaginas%3d1%26codigoRegistro%3d900666%23900666&i=1,orcid.org/0000-0003-4869-5190,sem orcid,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/902330?guid=1652469792501&returnUrl=%2fresultado%2flistar%3fguid%3d1652469792501%26quantidadePaginas%3d1%26codigoRegistro%3d902330%23902330&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-8309-6367,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/895751?guid=1652469857087&returnUrl=%2fresultado%2flistar%3fguid%3d1652469857087%26quantidadePaginas%3d1%26codigoRegistro%3d895751%23895751&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-5455-8910,orcid.org/0000-0003-2046-602X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/906029?guid=1652469965872&returnUrl=%2fresultado%2flistar%3fguid%3d1652469965872%26quantidadePaginas%3d1%26codigoRegistro%3d906029%23906029&i=2,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-0678-4777,orcid.org/0000-0002-6540-8686,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/905263?guid=1652470020595&returnUrl=%2fresultado%2flistar%3fguid%3d1652470020595%26quantidadePaginas%3d1%26codigoRegistro%3d905263%23905263&i=1,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0003-4869-5190,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/904579?guid=1652470061760&returnUrl=%2fresultado%2flistar%3fguid%3d1652470061760%26quantidadePaginas%3d1%26codigoRegistro%3d904579%23904579&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/908148?guid=1652470113178&returnUrl=%2fresultado%2flistar%3fguid%3d1652470113178%26quantidadePaginas%3d1%26codigoRegistro%3d908148%23908148&i=11,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0002-9539-6874,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/901703?guid=1652470188424&returnUrl=%2fresultado%2flistar%3fguid%3d1652470188424%26quantidadePaginas%3d1%26codigoRegistro%3d901703%23901703&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-2608-4807,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/901716?guid=1652470224644&returnUrl=%2fresultado%2flistar%3fguid%3d1652470224644%26quantidadePaginas%3d1%26codigoRegistro%3d901716%23901716&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0001-7878-4990,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/855551?guid=1652470287191&returnUrl=%2fresultado%2flistar%3fguid%3d1652470287191%26quantidadePaginas%3d1%26codigoRegistro%3d855551%23855551&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-9174-2816,orcid.org/0000-0001-5615-1746,orcid.org/0000-0001-7878-4990,orcid.org/0000-0003-2608-4807
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/854836?guid=1652470373494&returnUrl=%2fresultado%2flistar%3fguid%3d1652470373494%26quantidadePaginas%3d1%26codigoRegistro%3d854836%23854836&i=1,orcid.org/0000-0002-3159-4839,sem orcid,orcid.org/0000-0001-6574-341X,sem orcid,sem orcid
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/854855?guid=1652470417801&returnUrl=%2fresultado%2flistar%3fguid%3d1652470417801%26quantidadePaginas%3d1%26codigoRegistro%3d854855%23854855&i=1,sem orcid,orcid.org/0000-0002-6393-0876,orcid.org/0000-0001-9924-0079,orcid.org/0000-0002-3159-4839,orcid.org/0000-0003-4462-3325
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/873219?guid=1652470478971&returnUrl=%2fresultado%2flistar%3fguid%3d1652470478971%26quantidadePaginas%3d1%26codigoRegistro%3d873219%23873219&i=1,orcid.org/0000-0002-3159-4839,sem orcid,orcid.org/0000-0003-1574-0362,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0683-7672
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/869220?guid=1652470505370&returnUrl=%2fresultado%2flistar%3fguid%3d1652470505370%26quantidadePaginas%3d1%26codigoRegistro%3d869220%23869220&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2430-2030,orcid.org/0000-0001-8318-1780,orcid.org/0000-0002-1941-6036,orcid.org/0000-0002-1756-4852
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/866787?guid=1652470564649&returnUrl=%2fresultado%2flistar%3fguid%3d1652470564649%26quantidadePaginas%3d1%26codigoRegistro%3d866787%23866787&i=1,sem orcid,orcid.org/0000-0003-0683-7672,sem orcid,orcid.org/0000-0002-6560-6965,sem orcid
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/877154?guid=1652470640870&returnUrl=%2fresultado%2flistar%3fguid%3d1652470640870%26quantidadePaginas%3d1%26codigoRegistro%3d877154%23877154&i=1,orcid.org/0000-0003-4549-7105,sem orcid,sem orcid,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-4832-9318
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/896594?guid=1652475291332&returnUrl=%2fresultado%2flistar%3fguid%3d1652475291332%26quantidadePaginas%3d1%26codigoRegistro%3d896594%23896594&i=1,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,orcid.org/0000-0001-9241-2229,orcid.org/0000-0002-9539-6874
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/905271?guid=1652475538310&returnUrl=%2fresultado%2flistar%3fguid%3d1652475538310%26quantidadePaginas%3d1%26codigoRegistro%3d905271%23905271&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-4534-1250,orcid.org/0000-0002-9539-6874,orcid.org/0000-0003-3888-7340,orcid.org/0000-0002-3823-8941
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/898838?guid=1652475572409&returnUrl=%2fresultado%2flistar%3fguid%3d1652475572409%26quantidadePaginas%3d1%26codigoRegistro%3d898838%23898838&i=1,orcid.org/0000-0002-1180-2637,sem orcid,sem orcid,sem orcid,orcid.org/0000-0001-6305-9059
