tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/429068?guid=1652139756913&returnUrl=%2fresultado%2flistar%3fguid%3d1652139756913%26quantidadePaginas%3d1%26codigoRegistro%3d429068%23429068&i=3,sem orcid,orcid.org/0000-0003-1690-1201,orcid.org/0000-0002-4830-5298,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444291?guid=1652139836195&returnUrl=%2fresultado%2flistar%3fguid%3d1652139836195%26quantidadePaginas%3d1%26codigoRegistro%3d444291%23444291&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0003-4549-7105,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/426733?guid=1652139865692&returnUrl=%2fresultado%2flistar%3fguid%3d1652139865692%26quantidadePaginas%3d1%26codigoRegistro%3d426733%23426733&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0003-2046-602X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444557?guid=1652139937249&returnUrl=%2fresultado%2flistar%3fguid%3d1652139937249%26quantidadePaginas%3d1%26codigoRegistro%3d444557%23444557&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-4961-3428,orcid.org/0000-0002-1180-2637,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423602?guid=1652139993583&returnUrl=%2fresultado%2flistar%3fguid%3d1652139993583%26quantidadePaginas%3d1%26codigoRegistro%3d423602%23423602&i=1,orcid.org/0000-0002-8803-0401,sem orcid,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/426745?guid=1652140029390&returnUrl=%2fresultado%2flistar%3fguid%3d1652140029390%26quantidadePaginas%3d1%26codigoRegistro%3d426745%23426745&i=2,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0003-4869-5190,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423566?guid=1652140127319&returnUrl=%2fresultado%2flistar%3fguid%3d1652140127319%26quantidadePaginas%3d1%26codigoRegistro%3d423566%23423566&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-9539-6874,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/430441?guid=1652140168623&returnUrl=%2fresultado%2flistar%3fguid%3d1652140168623%26quantidadePaginas%3d1%26codigoRegistro%3d430441%23430441&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7561-5582,orcid.org/0000-0002-8856-194X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423613?guid=1652140212386&returnUrl=%2fresultado%2flistar%3fguid%3d1652140212386%26quantidadePaginas%3d1%26codigoRegistro%3d423613%23423613&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-7941-6281,orcid.org/0000-0002-6023-5982,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/425656?guid=1652140280619&returnUrl=%2fresultado%2flistar%3fguid%3d1652140280619%26quantidadePaginas%3d1%26codigoRegistro%3d425656%23425656&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6822-931X,orcid.org/0000-0001-5201-1244,,
