tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467516?guid=1652142043121&returnUrl=%2fresultado%2flistar%3fguid%3d1652142043121%26quantidadePaginas%3d1%26codigoRegistro%3d467516%23467516&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0002-9554-1381,orcid.org/0000-0001-9772-263X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/445242?guid=1652142073024&returnUrl=%2fresultado%2flistar%3fguid%3d1652142073024%26quantidadePaginas%3d1%26codigoRegistro%3d445242%23445242&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0002-6023-5982,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467433?guid=1652142198678&returnUrl=%2fresultado%2flistar%3fguid%3d1652142198678%26quantidadePaginas%3d1%26codigoRegistro%3d467433%23467433&i=13,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-6731-1482,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444627?guid=1652142260410&returnUrl=%2fresultado%2flistar%3fguid%3d1652142260410%26quantidadePaginas%3d1%26codigoRegistro%3d444627%23444627&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0003-0125-630X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/446556?guid=1652142326357&returnUrl=%2fresultado%2flistar%3fguid%3d1652142326357%26quantidadePaginas%3d1%26codigoRegistro%3d446556%23446556&i=1,sem orcid,orcid.org/0000-0001-6112-892X,sem orcid,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444849?guid=1652142366158&returnUrl=%2fresultado%2flistar%3fguid%3d1652142366158%26quantidadePaginas%3d1%26codigoRegistro%3d444849%23444849&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0001-5685-8004,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444929?guid=1652142409366&returnUrl=%2fresultado%2flistar%3fguid%3d1652142409366%26quantidadePaginas%3d1%26codigoRegistro%3d444929%23444929&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0002-2914-5380,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444926?guid=1652142578185&returnUrl=%2fresultado%2flistar%3fguid%3d1652142578185%26quantidadePaginas%3d1%26codigoRegistro%3d444926%23444926&i=1,orcid.org/0000-0003-0683-7672,sem orcid,orcid.org/0000-0002-2914-5380,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444918?guid=1652142700927&returnUrl=%2fresultado%2flistar%3fguid%3d1652142700927%26quantidadePaginas%3d1%26codigoRegistro%3d444918%23444918&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0003-0125-630X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444922?guid=1652142751653&returnUrl=%2fresultado%2flistar%3fguid%3d1652142751653%26quantidadePaginas%3d1%26codigoRegistro%3d444922%23444922&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6731-1482,,,
