tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1126943?guid=1652812696474&returnUrl=%2fresultado%2flistar%3fguid%3d1652812696474%26quantidadePaginas%3d1%26codigoRegistro%3d1126943%231126943&i=3,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-4523-6466,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128707?guid=1652812735276&returnUrl=%2fresultado%2flistar%3fguid%3d1652812735276%26quantidadePaginas%3d1%26codigoRegistro%3d1128707%231128707&i=1,orcid.org/0000-0002-8603-699X,orcid.org/0000-0001-6816-208X,orcid.org/0000-0002-5564-698X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128689?guid=1652812777116&returnUrl=%2fresultado%2flistar%3fguid%3d1652812777116%26quantidadePaginas%3d1%26codigoRegistro%3d1128689%231128689&i=1,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0003-0467-3133,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1127108?guid=1652812837643&returnUrl=%2fresultado%2flistar%3fguid%3d1652812837643%26quantidadePaginas%3d1%26codigoRegistro%3d1127108%231127108&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-0512-506X,orcid.org/0000-0001-8597-4987,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128679?guid=1652812867615&returnUrl=%2fresultado%2flistar%3fguid%3d1652812867615%26quantidadePaginas%3d1%26codigoRegistro%3d1128679%231128679&i=2,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2608-4807,orcid.org/0000-0002-7006-1621,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129306?guid=1652812901351&returnUrl=%2fresultado%2flistar%3fguid%3d1652812901351%26quantidadePaginas%3d1%26codigoRegistro%3d1129306%231129306&i=2,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-8746-1680,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1127261?guid=1652812931931&returnUrl=%2fresultado%2flistar%3fguid%3d1652812931931%26quantidadePaginas%3d1%26codigoRegistro%3d1127261%231127261&i=1,orcid.org/0000-0002-9545-2098,orcid.org/0000-0001-9772-263X,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129083?guid=1652812966440&returnUrl=%2fresultado%2flistar%3fguid%3d1652812966440%26quantidadePaginas%3d1%26codigoRegistro%3d1129083%231129083&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2277-4632,orcid.org/0000-0001-7266-9211,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128918?guid=1652812985676&returnUrl=%2fresultado%2flistar%3fguid%3d1652812985676%26quantidadePaginas%3d1%26codigoRegistro%3d1128918%231128918&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2277-4632,orcid.org/0000-0002-0512-506X,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129149?guid=1652813016948&returnUrl=%2fresultado%2flistar%3fguid%3d1652813016948%26quantidadePaginas%3d1%26codigoRegistro%3d1129149%231129149&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-7509-5532,,
