tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396681?guid=1651940590949&returnUrl=%2fresultado%2flistar%3fguid%3d1651940590949%26quantidadePaginas%3d1%26codigoRegistro%3d396681%23396681&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-3333-6822,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/411919?guid=1651940655926&returnUrl=%2fresultado%2flistar%3fguid%3d1651940655926%26quantidadePaginas%3d1%26codigoRegistro%3d411919%23411919&i=1,orcid.org/0000-0003-4549-7105,sem orcid,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/404753?guid=1651940685971&returnUrl=%2fresultado%2flistar%3fguid%3d1651940685971%26quantidadePaginas%3d1%26codigoRegistro%3d404753%23404753&i=2,orcid.org/0000-0002-1180-2637,sem orcid,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396699?guid=1651940778773&returnUrl=%2fresultado%2flistar%3fguid%3d1651940778773%26quantidadePaginas%3d1%26codigoRegistro%3d396699%23396699&i=5,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-9772-263X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/416663?guid=1651941473895&returnUrl=%2fresultado%2flistar%3fguid%3d1651941473895%26quantidadePaginas%3d1%26codigoRegistro%3d416663%23416663&i=1,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0002-8856-194X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/403868?guid=1651941499789&returnUrl=%2fresultado%2flistar%3fguid%3d1651941499789%26quantidadePaginas%3d1%26codigoRegistro%3d403868%23403868&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-1574-0362,orcid.org/0000-0001-5015-2131,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398863?guid=1651941539125&returnUrl=%2fresultado%2flistar%3fguid%3d1651941539125%26quantidadePaginas%3d1%26codigoRegistro%3d398863%23398863&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0002-3823-8941,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/415555?guid=1651941570286&returnUrl=%2fresultado%2flistar%3fguid%3d1651941570286%26quantidadePaginas%3d1%26codigoRegistro%3d415555%23415555&i=1,orcid.org/0000-0002-3159-4839,orcid.org/0000-0002-8757-4124,orcid.org/0000-0003-4462-3325,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396694?guid=1651941601568&returnUrl=%2fresultado%2flistar%3fguid%3d1651941601568%26quantidadePaginas%3d1%26codigoRegistro%3d396694%23396694&i=1,sem orcid,orcid.org/0000-0001-9892-740X,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398841?guid=1651941634644&returnUrl=%2fresultado%2flistar%3fguid%3d1651941634644%26quantidadePaginas%3d1%26codigoRegistro%3d398841%23398841&i=1,sem orcid,sem orcid,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/399298?guid=1651941674774&returnUrl=%2fresultado%2flistar%3fguid%3d1651941674774%26quantidadePaginas%3d1%26codigoRegistro%3d399298%23399298&i=1,sem orcid,sem orcid,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-4237-4281,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/399484?guid=1652138121247&returnUrl=%2fresultado%2flistar%3fguid%3d1652138121247%26quantidadePaginas%3d1%26codigoRegistro%3d399484%23399484&i=1,orcid.org/0000-0002-6731-1482,sem orcid,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-7002-875X,,,
