,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,avaliador2_filiação,row_idx,orientador_filiação,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_nome,avaliador1_país,orientador_nome,orientador_país,orientador_keyword_1,avaliador1_filiação,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador6_filiação,avaliador5_filiação,avaliador4_nome,avaliador4_país,avaliador4_filiação,avaliador5_nome,avaliador5_país,avaliador6_nome,avaliador6_país,avaliador3_filiação,avaliador3_nome,avaliador3_país,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador1_keyword_6,avaliador1_keyword_7,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador2_keyword_6,orientador_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador3_keyword_5,avaliador4_keyword_4,avaliador4_keyword_5,avaliador3_keyword_6,avaliador3_keyword_7,avaliador5_keyword_1,avaliador5_keyword_2,avaliador5_keyword_3,avaliador5_keyword_4,avaliador3_keyword_8,avaliador3_keyword_9,avaliador3_keyword_10,avaliador3_keyword_11,avaliador3_keyword_12,avaliador3_keyword_13
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1394730,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-7714-2283,orcid.org/0000-0003-0499-2564,,,,,Universidade Estadual de Campinas (UNICAMP),10,University of Campinas,Marcos M. Raimundo,no info,,,,,George D. C. Cavalcanti,no info,Zanoni Dias,Brazil,,Universidade Federal de Pernambuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1395407,orcid.org/0000-0002-8972-080X,orcid.org/0000-0001-5929-593X,orcid.org/0000-0003-1381-4794,,,,,University of Sao Paulo,11,State University of Campinas,Maycon Sambinelli,no info,,,,,Pedro Munari,Brazil,Fábio Usberti,no info,,Universidade Federal de São Carlos,Column generation,Branch-and-price,Interior point methods,Vehicle routing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1397581,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-6494-7514,,,,,no info,12,Universidade Estadual de Campinas,João Paulo Papa,no info,machine learning, image processing, computervision, meta-heuristics,Jacques Wainer,Brazil,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Universidade Estadual de Campinas (UNICAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1394645,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-4929-7258,orcid.org/0000-0002-8253-9004,,,,,no info,13,Universidade Estadual de Campinas,Helena Maia,no info,,,,,Agma Traina,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1398289,orcid.org/0000-0002-3754-9115,orcid.org/0000-0001-7878-4990,sem orcid,,,,,sem orcid,14,Instituto Butantan,sem orcid,sem orcid,,,,,Joao Meidanis,no info,Marcelo Reis,no info,,State University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1411984,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-1783-4231,orcid.org/0000-0003-0524-3274,,,,,Univesity of Sao Paulo,15,Universidade Estadual de Campinas,Julio Cezar Estrella,Brazil,Distributed Systems, Cloud Computing, Internet of Things,,Edson Borin,no info,Luiz Fernando Bittencourt,no info,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1409397,orcid.org/0000-0003-0499-2564,orcid.org/0000-0002-8514-8033,orcid.org/0000-0002-3754-9115,,,,,Instituto Butantan,16,Universidade Estadual de Campinas (UNICAMP),Marcelo Reis,no info,,,,,Luis Nonato,no info,Marcos M. Raimundo,no info,,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1409513,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0191-582X,orcid.org/0000-0002-4424-0888,,,,,Universidade Estadual de Campinas,17,University of Campinas,Marisol Marini,Brazil,,,,,Mariza Ferro,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Universidade Federal Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456436,orcid.org/0000-0002-3754-9115,orcid.org/0000-0001-9264-5380,orcid.org/0000-0003-0125-630X,,,,,University of Campinas,18,Instituto Butantan,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,Ivani Rodrigues Silva,Brazil,Marcelo Reis,no info,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456655,orcid.org/0000-0002-3754-9115,orcid.org/0000-0003-2111-1319,orcid.org/0000-0002-1756-4852,,,,,Universidade Estadual de Campinas,19,Instituto Butantan,André Santanchè,no info,,,,,"Pardo, T.A.S.",Brazil,Marcelo Reis,no info,,University of São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1455804,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-7789-3359,orcid.org/0000-0002-8603-699X,,,,,University of Campinas,20,Universidade Estadual de Campinas (UNICAMP),Juliana Freitag Borin,Brazil,Internet of Things, Smart Cities, Computer network protocols,,Luís Henrique M. K. Costa,no info,Julio Cesar Dos Reis,no info,,Universidade Federal do Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456431,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-1534-5744,orcid.org/0000-0003-0993-2798,,,,,no info,21,Universidade Estadual de Campinas,Lais Mais,no info,,,,,Paula Dornhofer Paro Costa,Brazil,Sandra Avila,no info,,Universidade Estadual de Campinas (UNICAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456870,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-5652-0852,orcid.org/0000-0003-1214-3431,,,,Universidade Estadual de Campinas,22,Universidade Estadual de Campinas,Roberto Lotufo,no info,,,,,Lucas Wanner,no info,Guido Araujo,no info,,University of Campinas,,,,,,,,,,,,,,,Universidade Estadual de Campinas,Hervé Yviquel,Brazil,,,,,Parallel Computing,High Performance Computing,Parallel Programming Model,Compilers,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456218,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-8253-9004,orcid.org/0000-0001-6994-8076,,,,,Federal University of Technology – Paraná,23,Universidade Estadual de Campinas (UNICAMP),Thiago Henrique Silva,Brazil,Data Mining, Machine  Learning, Social Networks, Urban Computing,Helena Maia,no info,Julio Cesar Dos Reis,no info,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1455893,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-3734-7679,orcid.org/0000-0001-7434-2642,,,,,Universidad de la Habana Facultad de Matematica y Computacion,24,Universidade Estadual de Campinas,Santiago Ravelo,no info,,,,,Pedro Hokama,no info,Rafael C. S. Schouery,no info,,Universidade Federal de Itajubá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456876,orcid.org/0000-0002-9545-2098,orcid.org/0000-0001-9878-0380,orcid.org/0000-0002-9908-4384,,,,,Universidade Estadual de Campinas,25,Universidade Estadual de Campinas (UNICAMP),Bruno Cafeo,Brazil,,,,,André Constantino da Silva,Brazil,Julio Cesar Dos Reis,no info,,Instituto Federal de Educação Ciência e Tecnologia de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1498636,orcid.org/0000-0003-1783-4231,orcid.org/0000-0003-0290-0080,orcid.org/0000-0002-8253-9004,,,,,no info,26,Universidade Estadual de Campinas,Helena Maia,no info,,,,,Leonardo Tomazeli Duarte,no info,Edson Borin,no info,,University of Campinas (UNICAMP),signal processing,source separation,nonlinear models,Multiple-criteria decision analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456574,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-0325-1596,orcid.org/0000-0001-9504-496X,,,,,Centro de Tecnologia da Informação Renato Archer,27,Universidade Estadual de Campinas (UNICAMP),Ferrucio de Franco Rosa,no info,,,,,Vagner Santana,no info,Julio Cesar Dos Reis,no info,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456454,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-5250-1785,orcid.org/0000-0003-1303-3760,,,,,"imec-COSIC, KU Leuven",28,Universidade Estadual de Campinas,Hilder Vitor Lima Pereira,no info,,,,,Antonio A. F. Loureiro,no info,Leandro Villas,Brazil,,Universidade Federal de Minas Gerais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456454,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-5250-1785,orcid.org/0000-0003-1303-3760,,,,,"imec-COSIC, KU Leuven",29,Universidade Estadual de Campinas,Hilder Vitor Lima Pereira,no info,,,,,Antonio A. F. Loureiro,no info,Leandro Villas,Brazil,,Universidade Federal de Minas Gerais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456697,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-0746-4014,orcid.org/0000-0003-1214-3431,orcid.org/0000-0003-3946-979X,,,,Universidade Estadual de Campinas,30,Universidade Estadual de Campinas,Hervé Yviquel,Brazil,Parallel Computing,High Performance Computing,Parallel Programming Model,Compilers,Antonio Tadeu Azevedo Gomes,Brazil,Edson Borin,no info,,Laboratório Nacional de Computação Científica,Software architecture,Scientific computing,,,,,,,,,,,,,Petrobras,Maicon Melo Alves,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1456451,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-9242-2806,orcid.org/0000-0003-1303-3760,,,,,"imec-COSIC, KU Leuven",31,no info,Hilder Vitor Lima Pereira,no info,,,,,Routo Terada,Brazil,Julio Cesar Lopez Hernandez,Mexico,,Universidade de São Paulo,Cryptography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1490236,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-1303-3760,orcid.org/0000-0001-5110-6639,,,,,IMDEA Software,32,no info,Antonio Guimarães,no info,,,,,Hilder Vitor Lima Pereira,no info,Julio Cesar Lopez Hernandez,Mexico,,"imec-COSIC, KU Leuven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1499435,orcid.org/0000-0002-3754-9115,orcid.org/0000-0002-9666-3954,orcid.org/0000-0002-8786-3313,,,,,Universidade Tecnológica Federal do Paraná,33,Instituto Butantan,Fabricio Martins Lopes,Brazil,Bioinformatics,Computer Vision,Feature Extraction,Pattern Recognition,Ricardo Gudwin,Brazil,Marcelo Reis,no info,,State University of Campinas,Artificial Intelligence,Cognitive Systems,Intelligent Systems,Cognitive Architectures,,,,,,,,,,,,,,,,,Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1389654,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-1927-7398,orcid.org/0000-0002-7418-7918,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-0517-1496,,,Universidade Tecnológica Federal do Paraná,34,University of Campinas,Roberto Scheffel,Brazil,,,,,claudio miceli,no info,Lucas Wanner,no info,,no info,,,,,,,,Gustavo Fraidenraich,Brazil,no info,,,,,University of Campinas,Juliana Freitag Borin,Brazil,,,,,Internet of Things, Smart Cities, Computer network protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394271,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-4059-8700,orcid.org/0000-0003-3441-0887,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-1884-8830,,,Centro de Tecnologia da Informação Renato Archer,35,Universidade Estadual de Campinas,Rodrigo Bonacin,no info,,,,,Vânia Paula de Almeida Neris,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,Federal University of São Carlos,,,,,,,,Flávia Linhalis,Brazil,Universidade Estadual de Campinas,,,,,University of Campinas,Islene Calciolari Garcia,no info,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394227,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,orcid.org/0000-0002-0876-0501,orcid.org/0000-0003-0467-3133,,,no info,36,Universidade Estadual de Campinas,João Paulo Papa,no info,machine learning, image processing, computervision, meta-heuristics,Helio Pedrini,Brazil,Alexandre Falcao,Brazil,image processing,University of Campinas,image and video processing; machine learning; computer vision,,,,,,,Esther Luna Colombini,no info,Universidade Estadual de Campinas,,,,,Instituto Nacional de Pesquisas Espaciais,Thales Sehn Körting,Brazil, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394764,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-8341-8183,orcid.org/0000-0003-2956-6326,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-3875-2211,,,Universidade Federal de São Paulo,37,Universidade Estadual de Campinas,"Faria, Fabio A.",Brazil,,,,,Vinicius Mota,no info,Leandro Villas,Brazil,,Federal University of Espírito Santo,,,,,,,,Nádia Silva,no info,no info,,,,,Universidade Estadual de Campinas (UNICAMP),Julio Cesar Dos Reis,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1390745,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-2608-4807,,,,University of Campinas,38,University of Campinas,Orlando Lee,no info,,,,,Maria Emilia Walter,Brazil,Zanoni Dias,Brazil,,University of Brasilia,bioinformatics, non-coding RNAs, genomics, transcriptomics, genome rearrangements,,,,,,,,,,Universidade Estadual de Campinas,Guilherme P. Telles,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394578,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-2894-3911,orcid.org/0000-0001-9193-2302,orcid.org/0000-0002-3754-9115,orcid.org/0000-0003-1781-2630,,,Universidade Federal de Juiz de Fora,39,University of Campinas,Luiz Maciel,no info,,,,,Samuel Martins,Netherlands,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Federal Institute of São Paulo,,,,,,,,Leo Sampaio Ferraz Ribeiro,no info,no info,,,,,Instituto Butantan,Marcelo Reis,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1394128,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-2497-9140,orcid.org/0000-0002-3385-5780,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-5446-114X,,,University of Ljubljana,40,Universidade Estadual de Campinas,Vitomir Štruc,no info,biometrics, face recognition, pattern recognition, machine learning,Sébastien Marcel,Switzerland,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Idiap Research Institute,biometrics,machine learning,face recognition,vein recognition,presentation attack detection,,,Patrick Flynn,no info,University of Notre Dame,,,,,Universidade Estadual de Campinas,Esther Luna Colombini,no info,,,, signal processing,,,,,spoofing,anti-spoofing,speaker recognition,morphing attack detection,deepfakes detection,biometric template protection,,,,,,,,,,,,,,,,,,,,
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1397795,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-0087-6806,orcid.org/0000-0003-0117-9308,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-8182-5554,,,Universidade Federal do Espírito Santo,41,Universidade Estadual de Campinas,AGC Pacheco,Brazil,,,,,FLAVIA VASQUES BITTENCOURT,no info,Sandra Avila,no info,,no info,,,,,,,,Leticia Rittner,no info,University of Campinas,,,,,Universidade Estadual de Campinas,Esther Luna Colombini,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1398630,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-5233-7639,orcid.org/0000-0001-9305-5323,orcid.org/0000-0002-2316-760X,,,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,42,Universidade Estadual de Campinas (UNICAMP),Solange Rezende,no info,,,,,André Santanchè,no info,Julio Cesar Dos Reis,no info,,Universidade Estadual de Campinas,,,,,,,,Fernando Paulovich,Netherlands,Dalhousie University,,,,,no info,Damires Souza,no info,,,,,,,,,,,,,,,,,Information Visualization,Visual Analytics,Visual Data Mining,,,,,,,,,,,,,,,
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1398860,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-5494-319X,orcid.org/0000-0003-4886-7298,sem orcid,orcid.org/0000-0003-4832-9318,,,Universidade de São Paulo Faculdade de Medicina de Ribeirão Preto,43,Universidade Estadual de Campinas (UNICAMP),Renato M.E. Sabbatini,Brazil,Biomedical informatics,Telemedicine,Distance education,Neuroscience,Magdala de Araujo Novaes,Brazil,Julio Cesar Dos Reis,no info,,Universidade Federal de Pernambuco,,,,,,,,Ivan Luiz Marques Ricarte,Brazil,Universidade Estadual de Campinas,,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1397455,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-0524-3274,orcid.org/0000-0002-5455-8910,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-9539-6874,,,Federal University of São Carlos,44,Universidade Estadual de Campinas,Fabio Verdi,Brazil,Computer Networks, SDN, Cloud computing, monitoring,Julio Cezar Estrella,Brazil,Luiz Fernando Bittencourt,no info,,Univesity of Sao Paulo,Distributed Systems, Cloud Computing, Internet of Things,,,,,Sandro Rigo,Brazil,Universidade Estadual de Campinas,,,,,University of Campinas,Juliana Freitag Borin,Brazil,,,, management,Internet of Things, Smart Cities, Computer network protocols,,,,,,,, virtualizatoin,,Computer Architecture,Compilers,Code Optimization,,High-Performance Computing,,,,,,,,,,,,,
