,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,avaliador2_filiação,row_idx,orientador_filiação,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_nome,avaliador1_país,orientador_nome,orientador_país,orientador_keyword_1,avaliador1_filiação,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador6_filiação,avaliador5_filiação,avaliador4_nome,avaliador4_país,avaliador4_filiação,avaliador5_nome,avaliador5_país,avaliador6_nome,avaliador6_país,avaliador3_filiação,avaliador3_nome,avaliador3_país,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador1_keyword_6,avaliador1_keyword_7,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador2_keyword_6,orientador_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador3_keyword_5,avaliador4_keyword_4,avaliador4_keyword_5,avaliador3_keyword_6,avaliador3_keyword_7,avaliador5_keyword_1,avaliador5_keyword_2,avaliador5_keyword_3,avaliador5_keyword_4,avaliador3_keyword_8,avaliador3_keyword_9,avaliador3_keyword_10,avaliador3_keyword_11,avaliador3_keyword_12,avaliador3_keyword_13
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1410421,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-6342-428X,orcid.org/0000-0001-7412-5250,orcid.org/0000-0001-6332-0296,orcid.org/0000-0002-5652-0852,Universidade Estadual de Campinas,45,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,Guido Araujo,no info,Alexandre Falcao,Brazil,image processing,Universidade Estadual de Campinas,,,,,,Universidade Estadual de Campinas,University of Trento,Lynda Hardman,no info,Centrum Wiskunde en Informatica,Yannis Velegrakis,Netherlands,Roberto Lotufo,no info,Boğaziçi Üniversitesi,Albert Ali Salah,Netherlands, visualization, and analysis, (interactive) machine learning ,,Human behavior understanding,Affective computing,Pattern recognition,Multimodal interaction,,,,,,,,,,,,Computer vision,,,Machine learning,,Big Data, Databases, Data Management, Analytics,,,,,,
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1406201,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-7093-0244,orcid.org/0000-0001-8597-4987,orcid.org/0000-0003-1691-6243,orcid.org/0000-0002-1756-4852,,,Universidade Federal do ABC,46,University of Campinas,Ronaldo Prati,no info,data mining, machine learning, artificial intelligence,,Camila Duelis Viana,Brazil,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Tratch Mundi Gerenciamento Ambiental LTDA,Photogrammetry,Remote Sensing,Structural Geology,GIS,Engineering Geology,,,André Santanchè,no info,Universidade Estadual de Campinas,,,,,State University of Campinas,Emilson Leite,Brazil,,,,,Geophysics,Geology,Python,Reservoir Characterization,,,,,,,,,,,,Impact Craters,,,,,,,,,,,,,,
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1408046,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-1840-2895,orcid.org/0000-0003-2970-2084,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-9545-2098,,,Federal University of Amazonas,47,UNICAMP,Leandro Galvao,Brazil,Computer Science Education,,,,Rodrigo Duran,Brazil,Rodolfo Azevedo,Brazil,,Federal Institute of Mato Grosso do Sul,,,,,,,,Julio Cesar Dos Reis,no info,Universidade Estadual de Campinas (UNICAMP),,,,,Universidade Estadual de Campinas (UNICAMP),Jacques Wainer,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1412466,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2440-0247,orcid.org/0000-0003-4286-5304,orcid.org/0000-0002-4641-0684,orcid.org/0000-0002-1941-6036,,,Norwegian University of Science and Technology,48,Universidade Estadual de Campinas,Henrique Gaspar,no info,,,,,Guillermo Camara Chavez,no info,Ricardo Torres,Netherlands,multimedia retrieval,Universidade Federal de Ouro Preto,,,,,,,,Marco Antonio Garcia de Carvalho,Brazil,Universidade Estadual de Campinas,,,,,Universidade Estadual de Campinas,Guilherme Palermo Coelho,Brazil,multimedia classification,machine learning,information visualization,,Computational Intelligence,Machine Learning,Multi-objective Optimization,Natural Computing,,,,,,,,data science,image segmentation,graphs,image processing,Meta-heuristics,digital education,pattern recognition,Artificial Neural Networks,Ensembles,,,,,,,,,,
49,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1436248,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-5746-4154,orcid.org/0000-0002-8781-3914,orcid.org/0000-0002-8111-1719,orcid.org/0000-0002-2407-0981,,,Federal University of Uberlândia,49,UNICAMP - University of Campinas,Rafael Pasquini,no info,,,,,Alfredo Goldman,no info,Edmundo Madeira,no info,,no info,,,,,,,,Carlos Alberto Astudillo Trujillo,Brazil,Universidade Estadual de Campinas,,,,,Universidade Federal do Espírito Santo,Magnos Martinello,Brazil,,,,,Computer networks, Performance Analysis and Software Defined Networking,,,,,,,,,,,Wireless Networking,LTE,M2M,,IoT,RoF,,,,,,,,,,,,
50,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1456019,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0158-7432,sem orcid,orcid.org/0000-0001-9722-5764,orcid.org/0000-0002-8727-4500,,,sem orcid,50,Universidade Estadual de Campinas,sem orcid,sem orcid,,,,,Renan Moritz Varnier Rodrigues de Almeida,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Universidade Federal do Rio de Janeiro,,,,,,,,Sergio Salles-Filho,no info,State University of Campinas,,,,,Universidade de São Paulo,Nina S. T. Hirata,no info,,,,,Machine Learning, Deep learning, Pattern Recognition, Image analysis,,,,,,,,,,,, Image Processing,,,,,,,,,,,,,,
51,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1456447,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-4929-7258,orcid.org/0000-0003-1574-0362,orcid.org/0000-0002-1534-5744,orcid.org/0000-0002-3754-9115,,,Instituto Tecnológico de Aeronáutica,51,Universidade Estadual de Campinas,Cesar Marcondes,Brazil,,,,,Agma Traina,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,,,,,,,,Marcelo Reis,no info,Instituto Butantan,,,,,Universidade Estadual de Campinas (UNICAMP),Paula Dornhofer Paro Costa,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1456290,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-1310-0997,orcid.org/0000-0001-7048-6585,orcid.org/0000-0001-9241-2229,orcid.org/0000-0001-9577-9309,,,no info,52,no info,Jeroen van de Graaf,no info,,,,,Peter Schwabe,no info,Julio Cesar Lopez Hernandez,Mexico,,no info,,,,,,,,Eduardo Morais,no info,no info,,,,,University of Campinas,Marco A. Amaral Henriques,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1456842,orcid.org/0000-0002-9529-4253,orcid.org/0000-0002-2042-4623,orcid.org/0000-0001-9924-0079,orcid.org/0000-0002-1649-6843,orcid.org/0000-0001-7434-2642,,,no info,53,University of Campinas,Fabio Protti,no info,,,,,Breno Piva,Brazil,Pedro J. de Rezende,no info,,Universidade Federal de Sergipe,,,,,,,,Santiago Ravelo,no info,Universidad de la Habana Facultad de Matematica y Computacion,,,,,Universidade Federal de São Paulo,Kelly Poldi,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1490425,orcid.org/0000-0002-4830-5298,orcid.org/0009-0000-2453-6617,orcid.org/0000-0002-1736-544X,orcid.org/0000-0002-2431-8457,orcid.org/0000-0001-5804-950X,,,Universidade Federal de São Carlos,54,Universidade Estadual de Campinas,Luciana Zaina,Brazil,UX design,UX,Agile UX,Agile practices,Amanda Meincke Melo,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,no info,,,,,,,,Alysson Prado,no info,no info,,,,,Sociedade Brasileira de Computação,Cristiano  Maciel,Brazil,Socially Aware Design,Organizational Semiotics,Participatory Design,,E-Participation,Citizen Participation,E-Government,E-Democracy,,,,,,,,,,,,Social Networks,,,Web 2.0,Communication,,,,,Human-Computer Interaction,Social Network Analysis,Information and Communication Technology,Death and Technologies,Gender, race and Technology
