,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,orientador_filiação,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_filiação,avaliador2_filiação,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador3_filiação,avaliador6_filiação,avaliador4_nome,avaliador4_país,avaliador4_filiação,avaliador6_nome,avaliador6_país,avaliador3_nome,avaliador3_país,avaliador5_nome,avaliador5_país,avaliador5_filiação,avaliador3_keyword_1,avaliador3_keyword_2,orientador_keyword_6,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador6_keyword_1,avaliador6_keyword_2,avaliador6_keyword_3,avaliador6_keyword_4
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/408727?guid=1652138619058&returnUrl=%2fresultado%2flistar%3fguid%3d1652138619058%26quantidadePaginas%3d1%26codigoRegistro%3d408727%23408727&i=1,orcid.org/0000-0003-4462-3325,sem orcid,orcid.org/0000-0002-1067-6421,,,,,University of Campinas,22,sem orcid,sem orcid,,,,,,sem orcid,no info,Orlando Lee,no info,,,,,,Flávio K. Miyazawa,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/471978?guid=1652138656837&returnUrl=%2fresultado%2flistar%3fguid%3d1652138656837%26quantidadePaginas%3d1%26codigoRegistro%3d471978%23471978&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6540-8686,,,,,University of Campinas,23,sem orcid,sem orcid,,,,,,sem orcid,University of Campinas,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,Paulo de Geus,Brazil,Computer Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/410063?guid=1652138696247&returnUrl=%2fresultado%2flistar%3fguid%3d1652138696247%26quantidadePaginas%3d1%26codigoRegistro%3d410063%23410063&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0001-8522-2056,orcid.org/0000-0002-2914-5380,,,,,no info,24,Silvio GUIMARAES,Brazil,,,,,,Pontifícia Universidade Católica de Minas Gerais,Universidade Estadual de Campinas,Neucimar Leite,no info,,,,,,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/399530?guid=1652138740096&returnUrl=%2fresultado%2flistar%3fguid%3d1652138740096%26quantidadePaginas%3d1%26codigoRegistro%3d399530%23399530&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-1180-2637,,,,Universidade Estadual de Campinas Instituto de Computação,25,sem orcid,sem orcid,,,,,,sem orcid,Universidade Estadual de Campinas,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,UNICAMP - University of Campinas,,,,,,,Edmundo Madeira,no info,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423609?guid=1652138784772&returnUrl=%2fresultado%2flistar%3fguid%3d1652138784772%26quantidadePaginas%3d1%26codigoRegistro%3d423609%23423609&i=1,sem orcid,sem orcid,orcid.org/0000-0002-3823-8941,,,,,sem orcid,26,sem orcid,sem orcid,,,,,,sem orcid,University of Campinas,sem orcid,sem orcid,,,,,,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,fault tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/420185?guid=1652138815371&returnUrl=%2fresultado%2flistar%3fguid%3d1652138815371%26quantidadePaginas%3d1%26codigoRegistro%3d420185%23420185&i=1,orcid.org/0000-0002-8803-0401,sem orcid,sem orcid,,,,,UNICAMP,27,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,Rodolfo Azevedo,Brazil,,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/420767?guid=1652138847436&returnUrl=%2fresultado%2flistar%3fguid%3d1652138847436%26quantidadePaginas%3d1%26codigoRegistro%3d420767%23420767&i=1,orcid.org/0000-0003-1908-4753,sem orcid,sem orcid,,,,,Universidade Estadual de Campinas Instituto de Computação,28,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/429546?guid=1652138884373&returnUrl=%2fresultado%2flistar%3fguid%3d1652138884373%26quantidadePaginas%3d1%26codigoRegistro%3d429546%23429546&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0003-4929-7258,orcid.org/0000-0001-5685-8004,,,,,no info,29,Agma Traina,no info,,,,,,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,no info,Neucimar Leite,no info,,,,,,Siome Goldenstein,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/415402?guid=1652138907496&returnUrl=%2fresultado%2flistar%3fguid%3d1652138907496%26quantidadePaginas%3d1%26codigoRegistro%3d415402%23415402&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0002-3823-8941,,,,,UNICAMP - University of Campinas,30,sem orcid,sem orcid,,,,,,sem orcid,University of Campinas,Edmundo Madeira,no info,,,,,,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,fault tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,
31,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/399604?guid=1652139058315&returnUrl=%2fresultado%2flistar%3fguid%3d1652139058315%26quantidadePaginas%3d1%26codigoRegistro%3d399604%23399604&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0003-1752-6255,sem orcid,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9384-8347,orcid.org/0000-0002-9539-6874,Universidade Estadual de Campinas,31,sem orcid,sem orcid,,,,,,sem orcid,Advanced Micro Devices,Guido Araujo,no info,,,,,,Mauricio Breternitz,no info,,,,,,sem orcid,Universidade Estadual de Campinas,Rodolfo Azevedo,Brazil,UNICAMP,Sandro Rigo,Brazil,sem orcid,sem orcid,Luiz C. V. dos Santos,Brazil,Universidade Federal de Santa Catarina,,,,,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing
32,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/399466?guid=1652139104366&returnUrl=%2fresultado%2flistar%3fguid%3d1652139104366%26quantidadePaginas%3d1%26codigoRegistro%3d399466%23399466&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-1561-8447,orcid.org/0000-0002-1163-9980,orcid.org/0000-0002-3891-1593,sem orcid,,,UNICAMP,32,Alberto Ferreira De Souza,Brazil,Self-Driving Cars, Artificial Intelligence, Robotics,,,Universidade Federal do Espírito Santo,Universidade de São Paulo,Rodolfo Azevedo,Brazil,,,,,,Liria Sato,no info,,,,,,Universidade Estadual de Campinas,,sem orcid,sem orcid,sem orcid,,,mario cortes,no info,,,,,,,,,,,,,,,
33,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/399489?guid=1652139159772&returnUrl=%2fresultado%2flistar%3fguid%3d1652139159772%26quantidadePaginas%3d1%26codigoRegistro%3d399489%23399489&i=1,orcid.org/0000-0001-8309-6367,sem orcid,sem orcid,orcid.org/0000-0002-7270-1477,orcid.org/0000-0001-5685-8004,,,Universidade Estadual de Campinas,33,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,Ariadne Carvalho,no info,,,,,,sem orcid,sem orcid,,,,,,no info,,Siome Goldenstein,no info,no info,,,Ivandré Paraboni,no info,,,,,,,,,,,,,,,
34,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/399410?guid=1652139213124&returnUrl=%2fresultado%2flistar%3fguid%3d1652139213124%26quantidadePaginas%3d1%26codigoRegistro%3d399410%23399410&i=2,orcid.org/0000-0001-9174-2816,sem orcid,sem orcid,sem orcid,orcid.org/0000-0001-9772-263X,,,Universidade de Sao Paulo,34,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,Joao C. Setubal,no info,Bioinformatics, Genomics, Metagenomics, Microbiomes, Transcriptomics,sem orcid,sem orcid,,,,,,sem orcid,,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,,,sem orcid,sem orcid,,,,,, Computational Biology,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,
35,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/423614?guid=1652139260360&returnUrl=%2fresultado%2flistar%3fguid%3d1652139260360%26quantidadePaginas%3d1%26codigoRegistro%3d423614%23423614&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6822-931X,orcid.org/0000-0002-6393-0876,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-5945-0845,,,State University of Campinas,35,Maria Emilia Walter,Brazil,bioinformatics, non-coding RNAs, genomics, transcriptomics, genome rearrangements,University of Brasilia,no info,Joao Meidanis,no info,,,,,,Celina Miraglia Herrera de Figueiredo,Brazil,,,,,,University of Campinas,,Cid de Souza,Brazil,Universidade Estadual de Campinas,,,Zanoni Dias,Brazil,,,,,,,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,
36,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/410324?guid=1652139290690&returnUrl=%2fresultado%2flistar%3fguid%3d1652139290690%26quantidadePaginas%3d1%26codigoRegistro%3d410324%23410324&i=1,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-8309-6367,,,no info,36,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,Jacques Wainer,Brazil,,,,,,sem orcid,sem orcid,,,,,,no info,,Ariadne Carvalho,no info,Universidade Estadual de Campinas,,,Siome Goldenstein,no info,,,,,,,,,,,,,,,
37,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/776458?guid=1652139430354&returnUrl=%2fresultado%2flistar%3fguid%3d1652139430354%26quantidadePaginas%3d1%26codigoRegistro%3d776458%23776458&i=1,orcid.org/0000-0002-3823-8941,sem orcid,orcid.org/0000-0003-3692-2202,orcid.org/0000-0002-5591-3750,sem orcid,,,University of Campinas,37,sem orcid,sem orcid,,,,,,sem orcid,no info,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,fault tolerance,,,Delano Beder,no info,,,,,,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,,sem orcid,sem orcid,sem orcid,,,Jo Ueyama,no info,,,,,,,,,,,,,,,
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/422907?guid=1652139522605&returnUrl=%2fresultado%2flistar%3fguid%3d1652139522605%26quantidadePaginas%3d1%26codigoRegistro%3d422907%23422907&i=1,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0002-4607-9880,sem orcid,orcid.org/0000-0003-0683-7672,orcid.org/0000-0001-8309-6367,orcid.org/0000-0003-1908-4753,Universidade Estadual de Campinas,38,sem orcid,sem orcid,,,,,,sem orcid,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,Maria Teresa Eglér Mantoan,Brazil,Docência e extensão,Direito incondicional de todos os alunos à educação escolar de nível básico e superior de ensino,,,,sem orcid,Universidade Estadual de Campinas Instituto de Computação,Anamaria Gomide,no info,no info,Claudia Medeiros,Brazil,sem orcid,sem orcid,Ariadne Carvalho,no info,Universidade Estadual de Campinas,,,,,,,,,Scientific data management, Data interoperability, Open Science,
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/409260?guid=1652139610764&returnUrl=%2fresultado%2flistar%3fguid%3d1652139610764%26quantidadePaginas%3d1%26codigoRegistro%3d409260%23409260&i=1,sem orcid,orcid.org/0000-0002-2992-3429,orcid.org/0000-0002-4888-0778,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-6023-5982,,,sem orcid,39,Marcos Borges,Brazil,CSCW,Emergency Management,Human-Computer Interaction,,,Universidade Federal do Rio de Janeiro,Universidade Federal de Juiz de Fora,sem orcid,sem orcid,,,,,,Regina Braga,no info,,,,,,UNICAMP - University of Campinas,,Islene Calciolari Garcia,no info,University of Campinas,,,Edmundo Madeira,no info,,,,,,,,,,,,,,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/432282?guid=1652139662272&returnUrl=%2fresultado%2flistar%3fguid%3d1652139662272%26quantidadePaginas%3d1%26codigoRegistro%3d432282%23432282&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0001-9924-0079,orcid.org/0000-0002-5945-0845,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-5259-2859,,,no info,40,Fabio Protti,no info,,,,,,no info,Universidade Estadual de Campinas,Flávio K. Miyazawa,no info,,,,,,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,University of Campinas,,Cristina G. Fernandes,no info,University of Sao Paulo,,,Orlando Lee,no info,,,,,,,approximation algorithms,,,,,,,,
