tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/993994?guid=1652795086740&returnUrl=%2fresultado%2flistar%3fguid%3d1652795086740%26quantidadePaginas%3d1%26codigoRegistro%3d993994%23993994&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0040-0752,orcid.org/0000-0001-9068-938X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1082810?guid=1652795114393&returnUrl=%2fresultado%2flistar%3fguid%3d1652795114393%26quantidadePaginas%3d1%26codigoRegistro%3d1082810%231082810&i=1,orcid.org/0000-0002-4236-8212,sem orcid,orcid.org/0000-0003-0125-630X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/994025?guid=1652795220435&returnUrl=%2fresultado%2flistar%3fguid%3d1652795220435%26quantidadePaginas%3d1%26codigoRegistro%3d994025%23994025&i=1,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-3734-7679,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/995664?guid=1652795255367&returnUrl=%2fresultado%2flistar%3fguid%3d1652795255367%26quantidadePaginas%3d1%26codigoRegistro%3d995664%23995664&i=1,orcid.org/0000-0002-4321-9075,orcid.org/0000-0001-5396-9868,orcid.org/0000-0001-9068-938X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/996066?guid=1652795302685&returnUrl=%2fresultado%2flistar%3fguid%3d1652795302685%26quantidadePaginas%3d1%26codigoRegistro%3d996066%23996066&i=5,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2956-6326,orcid.org/0000-0002-1756-4852,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1010150?guid=1652795376887&returnUrl=%2fresultado%2flistar%3fguid%3d1652795376887%26quantidadePaginas%3d1%26codigoRegistro%3d1010150%231010150&i=2,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-9545-2098,sem orcid,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1010167?guid=1652795408516&returnUrl=%2fresultado%2flistar%3fguid%3d1652795408516%26quantidadePaginas%3d1%26codigoRegistro%3d1010167%231010167&i=1,orcid.org/0000-0002-3372-3366,orcid.org/0000-0003-1495-5935,orcid.org/0000-0002-1953-9132,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-2483-6382,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1030899?guid=1652795478247&returnUrl=%2fresultado%2flistar%3fguid%3d1652795478247%26quantidadePaginas%3d1%26codigoRegistro%3d1030899%231030899&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-8972-080X,sem orcid,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1022054?guid=1652795527638&returnUrl=%2fresultado%2flistar%3fguid%3d1652795527638%26quantidadePaginas%3d1%26codigoRegistro%3d1022054%231022054&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-3875-2211,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1089950?guid=1652795593881&returnUrl=%2fresultado%2flistar%3fguid%3d1652795593881%26quantidadePaginas%3d1%26codigoRegistro%3d1089950%231089950&i=2,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-2608-4807,,,
