tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/928470?guid=1652484653650&returnUrl=%2fresultado%2flistar%3fguid%3d1652484653650%26quantidadePaginas%3d1%26codigoRegistro%3d928470%23928470&i=9,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-9772-263X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926600?guid=1652484707216&returnUrl=%2fresultado%2flistar%3fguid%3d1652484707216%26quantidadePaginas%3d1%26codigoRegistro%3d926600%23926600&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0002-4236-8212,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/931956?guid=1652484771136&returnUrl=%2fresultado%2flistar%3fguid%3d1652484771136%26quantidadePaginas%3d1%26codigoRegistro%3d931956%23931956&i=1,orcid.org/0000-0002-9529-4253,orcid.org/0000-0003-2998-6785,orcid.org/0000-0001-6030-2682,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926523?guid=1652484808685&returnUrl=%2fresultado%2flistar%3fguid%3d1652484808685%26quantidadePaginas%3d1%26codigoRegistro%3d926523%23926523&i=1,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-4865-5896,orcid.org/0000-0002-8972-080X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/931530?guid=1652484907535&returnUrl=%2fresultado%2flistar%3fguid%3d1652484907535%26quantidadePaginas%3d1%26codigoRegistro%3d931530%23931530&i=1,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-3434-3074,orcid.org/0000-0002-8972-080X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926582?guid=1652484950397&returnUrl=%2fresultado%2flistar%3fguid%3d1652484950397%26quantidadePaginas%3d1%26codigoRegistro%3d926582%23926582&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-8824-3055,orcid.org/0000-0001-6305-9059,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/931534?guid=1652484987349&returnUrl=%2fresultado%2flistar%3fguid%3d1652484987349%26quantidadePaginas%3d1%26codigoRegistro%3d931534%23931534&i=1,sem orcid,sem orcid,orcid.org/0000-0002-7002-875X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932501?guid=1652485141901&returnUrl=%2fresultado%2flistar%3fguid%3d1652485141901%26quantidadePaginas%3d1%26codigoRegistro%3d932501%23932501&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8522-2056,orcid.org/0000-0003-2430-2030,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932506?guid=1652485190767&returnUrl=%2fresultado%2flistar%3fguid%3d1652485190767%26quantidadePaginas%3d1%26codigoRegistro%3d932506%23932506&i=2,sem orcid,orcid.org/0000-0002-8639-3532,orcid.org/0000-0002-8340-4881,orcid.org/0000-0003-4462-3325,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/931965?guid=1652485252885&returnUrl=%2fresultado%2flistar%3fguid%3d1652485252885%26quantidadePaginas%3d1%26codigoRegistro%3d931965%23931965&i=2,orcid.org/0000-0003-4462-3325,sem orcid,orcid.org/0000-0002-8972-080X,,,
