tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
,https://repositorio.unicamp.br/acervo/detalhe/478387?guid=1652454647273&returnUrl=%2fresultado%2flistar%3fguid%3d1652454647273%26quantidadePaginas%3d1%26codigoRegistro%3d478387%23478387&i=10,sem orcid,orcid.org/0000-0001-6261-1497,orcid.org/0000-0002-6023-5982,,
,https://repositorio.unicamp.br/acervo/detalhe/480801?guid=1652455092338&returnUrl=%2fresultado%2flistar%3fguid%3d1652455092338%26quantidadePaginas%3d1%26codigoRegistro%3d480801%23480801&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-3692-2202,orcid.org/0000-0002-6023-5982,,
,https://repositorio.unicamp.br/acervo/detalhe/772832?guid=1652455280143&returnUrl=%2fresultado%2flistar%3fguid%3d1652455280143%26quantidadePaginas%3d1%26codigoRegistro%3d772832%23772832&i=1,orcid.org/0000-0001-7878-4990,sem orcid,orcid.org/0000-0003-3333-6822,,
,https://repositorio.unicamp.br/acervo/detalhe/771277?guid=1652455304761&returnUrl=%2fresultado%2flistar%3fguid%3d1652455304761%26quantidadePaginas%3d1%26codigoRegistro%3d771277%23771277&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-6750-5965,orcid.org/0000-0001-8309-6367,,
,https://repositorio.unicamp.br/acervo/detalhe/480734?guid=1652455347477&returnUrl=%2fresultado%2flistar%3fguid%3d1652455347477%26quantidadePaginas%3d1%26codigoRegistro%3d480734%23480734&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-4262-5474,,
,https://repositorio.unicamp.br/acervo/detalhe/480729?guid=1652455376734&returnUrl=%2fresultado%2flistar%3fguid%3d1652455376734%26quantidadePaginas%3d1%26codigoRegistro%3d480729%23480729&i=6,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,
,https://repositorio.unicamp.br/acervo/detalhe/771272?guid=1652455436796&returnUrl=%2fresultado%2flistar%3fguid%3d1652455436796%26quantidadePaginas%3d1%26codigoRegistro%3d771272%23771272&i=2,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0002-4236-8212,,
,https://repositorio.unicamp.br/acervo/detalhe/771295?guid=1652455506726&returnUrl=%2fresultado%2flistar%3fguid%3d1652455506726%26quantidadePaginas%3d1%26codigoRegistro%3d771295%23771295&i=1,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-5259-2859,orcid.org/0000-0003-2998-6785,orcid.org/0000-0002-1067-6421,
,https://repositorio.unicamp.br/acervo/detalhe/771289?guid=1652455546932&returnUrl=%2fresultado%2flistar%3fguid%3d1652455546932%26quantidadePaginas%3d1%26codigoRegistro%3d771289%23771289&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0001-5015-2131,,
,https://repositorio.unicamp.br/acervo/detalhe/776438?guid=1652455588072&returnUrl=%2fresultado%2flistar%3fguid%3d1652455588072%26quantidadePaginas%3d1%26codigoRegistro%3d776438%23776438&i=1,sem orcid,sem orcid,orcid.org/0000-0001-7878-4990,,
,https://repositorio.unicamp.br/acervo/detalhe/771302?guid=1652455643670&returnUrl=%2fresultado%2flistar%3fguid%3d1652455643670%26quantidadePaginas%3d1%26codigoRegistro%3d771302%23771302&i=1,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-3691-6171,orcid.org/0000-0002-7002-875X,,
,https://repositorio.unicamp.br/acervo/detalhe/779146?guid=1652455678509&returnUrl=%2fresultado%2flistar%3fguid%3d1652455678509%26quantidadePaginas%3d1%26codigoRegistro%3d779146%23779146&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0003-2823-4725,orcid.org/0000-0002-1180-2637,,
,https://repositorio.unicamp.br/acervo/detalhe/771269?guid=1652455749917&returnUrl=%2fresultado%2flistar%3fguid%3d1652455749917%26quantidadePaginas%3d1%26codigoRegistro%3d771269%23771269&i=3,orcid.org/0000-0002-4830-5298,sem orcid,sem orcid,,
,https://repositorio.unicamp.br/acervo/detalhe/772338?guid=1652455780509&returnUrl=%2fresultado%2flistar%3fguid%3d1652455780509%26quantidadePaginas%3d1%26codigoRegistro%3d772338%23772338&i=1,orcid.org/0000-0002-6731-1482,sem orcid,orcid.org/0000-0002-7002-875X,,
,https://repositorio.unicamp.br/acervo/detalhe/771256?guid=1652455877584&returnUrl=%2fresultado%2flistar%3fguid%3d1652455877584%26quantidadePaginas%3d1%26codigoRegistro%3d771256%23771256&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7789-3359,orcid.org/0000-0003-2046-602X,,
,https://repositorio.unicamp.br/acervo/detalhe/778145?guid=1652455918157&returnUrl=%2fresultado%2flistar%3fguid%3d1652455918157%26quantidadePaginas%3d1%26codigoRegistro%3d778145%23778145&i=1,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,,
