,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador1_filiação,row_idx,orientador_filiação,orientador_nome,orientador_país,orientador_keyword_1,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador1_nome,avaliador1_país,avaliador2_filiação,orientador_keyword_2,orientador_keyword_3,avaliador1_keyword_1,avaliador1_keyword_2,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador4_filiação,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_4,orientador_keyword_4,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador2_keyword_5
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/911619?guid=1652479015818&returnUrl=%2fresultado%2flistar%3fguid%3d1652479015818%26quantidadePaginas%3d1%26codigoRegistro%3d911619%23911619&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7959-6569,orcid.org/0000-0001-8956-8660,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-8603-699X,Universidade Federal Fluminense,43,UNICAMP - University of Campinas,Edmundo Madeira,no info,,Lisandro Zambenedetti Granville,Brazil,,,,Célio Albuquerque,Brazil,Federal University of Rio Grande do Sul,,,,,University of Campinas,Juliana Freitag Borin,Brazil,Islene Calciolari Garcia,no info,University of Campinas,,,,,,,,,,Internet of Things, Smart Cities, Computer network protocols,,,
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/912188?guid=1652479050025&returnUrl=%2fresultado%2flistar%3fguid%3d1652479050025%26quantidadePaginas%3d1%26codigoRegistro%3d912188%23912188&i=4,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-5660-6488,sem orcid,orcid.org/0000-0002-6023-5982,orcid.org/0000-0003-2046-602X,no info,44,UNICAMP - University of Campinas,Edmundo Madeira,no info,,sem orcid,sem orcid,,,,Jose Ferreira de Rezende,no info,sem orcid,,,,,University of Campinas,Nelson L. S. da Fonseca,no info,Islene Calciolari Garcia,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/914939?guid=1652479088303&returnUrl=%2fresultado%2flistar%3fguid%3d1652479088303%26quantidadePaginas%3d1%26codigoRegistro%3d914939%23914939&i=4,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-5396-9868,sem orcid,orcid.org/0000-0003-0125-630X,sem orcid,45,Universidade Estadual de Campinas,Alexandre Falcao,Brazil,image processing,Eduardo Valle,Brazil,,,,sem orcid,sem orcid,Universidade Estadual de Campinas, visualization, and analysis,,,sem orcid,Helio Pedrini,Brazil,sem orcid,sem orcid,University of Campinas,,,,,, (interactive) machine learning ,,,,image and video processing; machine learning; computer vision,,,,,
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/913876?guid=1652479122095&returnUrl=%2fresultado%2flistar%3fguid%3d1652479122095%26quantidadePaginas%3d1%26codigoRegistro%3d913876%23913876&i=1,orcid.org/0000-0002-3159-4839,orcid.org/0000-0001-5683-693X,sem orcid,orcid.org/0000-0003-0683-7672,orcid.org/0000-0003-0125-630X,no info,46,State University of Campinas,Jorge Stolfi,no info,,sem orcid,sem orcid,,,,Luiz Henrique de Figueiredo,Brazil,sem orcid,,,,,no info,Helio Pedrini,Brazil,Anamaria Gomide,no info,University of Campinas,,,,,,,,,,image and video processing; machine learning; computer vision,,,,,
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/919674?guid=1652479152019&returnUrl=%2fresultado%2flistar%3fguid%3d1652479152019%26quantidadePaginas%3d1%26codigoRegistro%3d919674%23919674&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-9206-8138,orcid.org/0000-0001-9892-740X,sem orcid,orcid.org/0000-0001-5685-8004,no info,47,no info,Jacques Wainer,Brazil,,Eleri Cardozo,Brazil,Unicamp, Poli/USP, ITA,Jerônimo Pellegrini,Brazil,University of Campinas,,,,,sem orcid,Siome Goldenstein,no info,sem orcid,sem orcid,no info,,,,,,,,,,,,,,,
48,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/919116?guid=1652479209109&returnUrl=%2fresultado%2flistar%3fguid%3d1652479209109%26quantidadePaginas%3d1%26codigoRegistro%3d919116%23919116&i=1,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-5396-9868,sem orcid,48,no info,Jacques Wainer,Brazil,,sem orcid,sem orcid,,,,sem orcid,sem orcid,sem orcid,,,,,no info,Eduardo Valle,Brazil,Siome Goldenstein,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,
49,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918328?guid=1652479231303&returnUrl=%2fresultado%2flistar%3fguid%3d1652479231303%26quantidadePaginas%3d1%26codigoRegistro%3d918328%23918328&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0002-5591-3750,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-3372-3366,sem orcid,49,Universidade Estadual de Campinas Instituto de Computação,Claudia Medeiros,Brazil,Scientific data management,Jo Ueyama,no info,,,,sem orcid,sem orcid,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação, Data interoperability, Open Science,,,Universidade Estadual de Campinas,Leandro Villas,Brazil,André Santanchè,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,
50,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918908?guid=1652479262762&returnUrl=%2fresultado%2flistar%3fguid%3d1652479262762%26quantidadePaginas%3d1%26codigoRegistro%3d918908%23918908&i=1,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0002-3948-305X,orcid.org/0000-0002-6946-9670,Universidade Estadual de Campinas,50,University of Campinas,Eduardo C. Xavier,Brazil,,sem orcid,sem orcid,,,,Cid de Souza,Brazil,sem orcid,,,Integer Programming,Combinatorial Optimization,Universidade Federal de São Carlos,"Yanasse, H.H.",Brazil,Reinaldo Morabito,Brazil,Universidade Federal de São Paulo,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,
51,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/922886?guid=1652479324460&returnUrl=%2fresultado%2flistar%3fguid%3d1652479324460%26quantidadePaginas%3d1%26codigoRegistro%3d922886%23922886&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0001-9625-5259,orcid.org/0000-0001-8309-6367,sem orcid,sem orcid,51,no info,Cecilia Mary Fischer Rubira Rubira,no info,,Itana Gimenes,Brazil,,,,sem orcid,sem orcid,Universidade Estadual de Maringá,,,,,Universidade Estadual de Campinas,sem orcid,sem orcid,Ariadne Carvalho,no info,sem orcid,,,,,,,,,,,,,,,
52,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918898?guid=1652484161317&returnUrl=%2fresultado%2flistar%3fguid%3d1652484161317%26quantidadePaginas%3d1%26codigoRegistro%3d918898%23918898&i=7,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,sem orcid,orcid.org/0000-0002-3159-4839,orcid.org/0000-0001-5015-2131,no info,52,University of Campinas,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,sem orcid,sem orcid,,,,João Paulo Papa,no info,sem orcid,,,machine learning, image processing,State University of Campinas,Neucimar Leite,no info,Jorge Stolfi,no info,no info, computervision, meta-heuristics,,,,,,,,,,,,,
53,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918941?guid=1652484200914&returnUrl=%2fresultado%2flistar%3fguid%3d1652484200914%26quantidadePaginas%3d1%26codigoRegistro%3d918941%23918941&i=1,orcid.org/0000-0002-6731-1482,sem orcid,sem orcid,orcid.org/0000-0001-9241-2229,orcid.org/0000-0002-7002-875X,sem orcid,53,no info,Julio Cesar Lopez Hernandez,Mexico,,sem orcid,sem orcid,,,,sem orcid,sem orcid,sem orcid,,,,,University of Campinas,Ricardo Dahab,Brazil,Marco A. Amaral Henriques,no info,University of Campinas,,,,,,,,,,Cryptography, Graph Theory,,,,
54,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918924?guid=1652484253308&returnUrl=%2fresultado%2flistar%3fguid%3d1652484253308%26quantidadePaginas%3d1%26codigoRegistro%3d918924%23918924&i=3,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-9957-5861,orcid.org/0000-0003-1273-9809,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-8803-0401,Universidade Federal do Rio Grande do Sul,54,Universidade Estadual de Campinas,Sandro Rigo,Brazil,Computer Architecture,Hermes Senger,Brazil,,,,Philippe Navaux,Brazil,Universidade Federal de São Carlos,Compilers,Code Optimization,,,UNICAMP - University of Campinas,Rodolfo Azevedo,Brazil,Edmundo Madeira,no info,UNICAMP,,,,,,High-Performance Computing,,,,,,,,,
55,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/434549?guid=1652484297272&returnUrl=%2fresultado%2flistar%3fguid%3d1652484297272%26quantidadePaginas%3d1%26codigoRegistro%3d434549%23434549&i=5,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-1347-186X,orcid.org/0000-0003-0683-7672,,,no info,55,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,HCI,Anamaria Gomide,no info,,,,Jose Armando Valente,no info,no info,Socially Aware Design,Organizational Semiotics,,,,,,,,,,,,,,Participatory Design,,,,,,,,,
56,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/922878?guid=1652484356367&returnUrl=%2fresultado%2flistar%3fguid%3d1652484356367%26quantidadePaginas%3d1%26codigoRegistro%3d922878%23922878&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-0683-7672,sem orcid,orcid.org/0000-0002-6750-5965,sem orcid,no info,56,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,HCI,sem orcid,sem orcid,,,,Anamaria Gomide,no info,sem orcid,Socially Aware Design,Organizational Semiotics,,,Pontifícia Universidade Católica do Rio de Janeiro,sem orcid,sem orcid,Laura Sánchez García,no info,sem orcid,,,,,,Participatory Design,,,,,,,,,
57,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/927569?guid=1652484564335&returnUrl=%2fresultado%2flistar%3fguid%3d1652484564335%26quantidadePaginas%3d1%26codigoRegistro%3d927569%23927569&i=4,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0002-5861-4414,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-8603-699X,sem orcid,57,UNICAMP - University of Campinas,Edmundo Madeira,no info,,ALDRI LUIZ DOS SANTOS,Brazil,Network Management,Network Security,Dependability,sem orcid,sem orcid,Federal University of Minas Gerais,,,,,University of Campinas,Juliana Freitag Borin,Brazil,Islene Calciolari Garcia,no info,University of Campinas,,,,,Networking,,,,,Internet of Things, Smart Cities, Computer network protocols,,,Intelligent Systems
