tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1266276,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0002-1941-6036,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1267345,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0040-0752,orcid.org/0000-0003-0499-2564,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1297927?,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-2836-2009,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1313377,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-8229-3139,orcid.org/0000-0003-1001-082X,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1313341,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-8385-8859,sem orcid,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1338672,orcid.org/0000-0002-3372-3366,orcid.org/0000-0001-6305-9059,sem orcid,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1341471,orcid.org/0000-0003-1908-4753,orcid.org/0000-0001-9176-8709,orcid.org/0000-0001-8309-6367,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1342249,orcid.org/0000-0003-1214-3431,orcid.org/0000-0002-4694-7182,orcid.org/0000-0001-6305-9059,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1342942,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-1783-4231,orcid.org/0000-0001-9577-9309,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1344257,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0002-1756-4852,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1346037,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-7941-6281,orcid.org/0000-0001-9772-263X,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1347033,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-0968-5320,orcid.org/0000-0003-1323-0502,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371803,orcid.org/0000-0002-7002-875X,orcid.org/0000-0003-3551-4063,orcid.org/0000-0001-5227-7165,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371723,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-2111-1319,,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1362019,orcid.org/0000-0001-6305-9059,orcid.org/0000-0002-8781-3914,orcid.org/0000-0002-8603-699X,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371384,orcid.org/0000-0002-0472-4810,orcid.org/0000-0003-4971-7355,,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1372592,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-4268-9726,orcid.org/0000-0002-9539-6874,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1373789,orcid.org/0000-0002-4531-1473,orcid.org/0000-0002-8923-2814,orcid.org/0000-0002-9908-4384,,,
MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371766,orcid.org/0000-0002-2457-0783,orcid.org/0000-0003-3738-6448,orcid.org/0000-0002-6731-1482,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1374170,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-3434-3074,orcid.org/0000-0003-2608-4807,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1374913,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-3888-7340,orcid.org/0000-0003-0499-2564,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1384752,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0003-0467-3133,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1376274,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-3425-0481,orcid.org/0000-0002-1756-4852,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1380383,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-8007-9817,orcid.org/0000-0002-6023-5982,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1384107,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-4034-0021,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1376865,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-5564-698X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1384992,orcid.org/0000-0002-8972-080X,orcid.org/0000-0003-0499-2564,sem orcid,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1376866,orcid.org/0000-0002-6023-5982,orcid.org/0000-0001-9068-938X,orcid.org/0000-0001-8065-1433,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1380388,orcid.org/0000-0003-4237-4281,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-0000-6990,,,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1268597,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-2973-2232,orcid.org/0000-0002-4711-5783,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-9068-938X,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1266160,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9992-8540,orcid.org/0000-0002-6790-5184,orcid.org/0000-0003-1140-4513,orcid.org/0000-0002-3823-8941,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1267978,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8597-4987,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1546-3740,orcid.org/0000-0002-0512-506X,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1274358,orcid.org/0000-0002-2457-0783,orcid.org/0000-0003-1303-3760,orcid.org/0000-0001-5159-9517,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-4869-5190,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1338842,orcid.org/0000-0002-5945-0845,orcid.org/0000-0001-5501-9719,orcid.org/0000-0002-9244-9969,orcid.org/0000-0002-1067-6421,orcid.org/0000-0003-2608-4807,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1341176,orcid.org/0000-0001-6030-2682,sem orcid,orcid.org/0000-0003-1707-1887,orcid.org/0000-0002-3734-7679,orcid.org/0000-0002-8972-080X,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1341245,orcid.org/0000-0002-3372-3366,sem orcid,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-2982-4006,orcid.org/0000-0002-9936-3770,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1347602,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-9835-352X,orcid.org/0000-0002-1649-6843,orcid.org/0000-0001-6476-4534,,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1347215,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-3094-6847,orcid.org/0000-0001-9538-9538,orcid.org/0000-0003-0499-2564,,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1345182,orcid.org/0000-0002-5564-698X,orcid.org/0000-0003-4808-4904,orcid.org/0000-0001-5746-4154,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9539-6874,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1368537,orcid.org/0000-0003-1001-082X,orcid.org/0000-0002-5320-9209,orcid.org/0000-0001-6476-4534,sem orcid,orcid.org/0000-0003-4462-3325,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1362654,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-5227-7165,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-7048-6585,
DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371375,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-0713-0583,orcid.org/0000-0002-9682-0075,orcid.org/0000-0002-8603-699X,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1374643,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9992-8540,orcid.org/0000-0001-5746-4154,orcid.org/0000-0003-1214-3431,orcid.org/0000-0002-5564-698X,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1376019,orcid.org/0000-0003-2046-602X,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-9936-3770,orcid.org/0000-0002-7561-5582,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-1001-082X
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1376656,orcid.org/0000-0002-4830-5298,orcid.org/0000-0001-8556-6473,orcid.org/0000-0002-8922-6975,orcid.org/0000-0003-4290-6508,sem orcid,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/480769,orcid.org/0000-0001-5195-0215,sem orcid,sem orcid,orcid.org/0000-0002-9232-2263,orcid.org/0000-0002-8156-7302,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1378810,orcid.org/0000-0002-8972-080X,sem orcid,orcid.org/0000-0002-3734-7679,orcid.org/0000-0002-7100-870X,orcid.org/0000-0002-1649-6843,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1378893,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-9722-5764,orcid.org/0000-0002-7271-2774,
