,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_filiação,row_idx,orientador_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_filiação,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,avaliador2_keyword_1,avaliador4_filiação,avaliador3_filiação,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador1_keyword_6,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador2_keyword_6,avaliador1_keyword_7,orientador_keyword_4,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador3_keyword_5,avaliador3_keyword_6,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador4_keyword_6,avaliador4_keyword_7
12,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165390,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-5100-7443,orcid.org/0000-0002-1534-5744,,,Universidade Estadual de Campinas (UNICAMP),12,Universidade Estadual de Campinas,Paula Dornhofer Paro Costa,Brazil,Esther Luna Colombini,no info,Plinio Thomaz Aquino Junior,Brazil,,,,,,Centro Universitario FEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164542,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-0023-1971,orcid.org/0000-0001-5201-1244,,,Universidade Estadual de Campinas (UNICAMP),13,University of Campinas,Jacques Wainer,Brazil,Helio Pedrini,Brazil,Ramon Pires,Brazil,,,,,,State University of Campinas (UNICAMP),image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165179,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-7461-7570,orcid.org/0000-0002-9104-613X,,,no info,14,Universidade Estadual de Campinas,Tiago Fernandes Tavares,Brazil,Anderson Rocha,Brazil,Marjory Da Costa Abreu,no info,ethical artificial intelligence,biometrics,privacy and GDPR,data-drive healthcare,Paulo Freire pedagogy applied to computing,Universidade Federal do Rio Grande do Norte,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,Music Information Retrieval,,,,,,,digital law,New Interfaces for Musical Expression,Digital Signal Processing,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164514,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-9319-9829,orcid.org/0000-0002-0512-506X,,,no info,15,University of Campinas,Alexandre Ferreira,no info,Zanoni Dias,Brazil,Levy Boccato,no info,,,,,,Universidade Estadual de Campinas (UNICAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165878,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-9539-6874,sem orcid,,,sem orcid,16,University of Campinas,sem orcid,sem orcid,Lucas Wanner,no info,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165392,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0003-0467-3133,,,Universidade Estadual de Campinas,17,University of Campinas,Esther Luna Colombini,no info,Helio Pedrini,Brazil,sem orcid,sem orcid,,,,,,sem orcid,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1166292,orcid.org/0000-0002-8972-080X,orcid.org/0000-0003-4655-8934,orcid.org/0000-0003-0125-630X,,,University of Campinas,18,State University of Campinas,Helio Pedrini,Brazil,Fábio Usberti,no info,Daniella Moura,no info,,,,,,Universidade Estadual de Campinas,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165396,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-6045-1274,sem orcid,,,sem orcid,19,Universidade Estadual de Campinas,sem orcid,sem orcid,Esther Luna Colombini,no info,Eduardo Todt,no info,,,,,,Universidade Federal do Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165314,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-5652-0852,,,Universidade Estadual de Campinas,20,Universidade Estadual de Campinas,Roberto Lotufo,no info,Adín Ramírez Rivera,Norway,Esther Luna Colombini,no info,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1166626,orcid.org/0000-0003-1783-4231,orcid.org/0000-0001-5191-5209,orcid.org/0000-0001-9665-2238,orcid.org/0000-0003-1273-9809,,Universidade Federal do Rio Grande do Norte,21,Universidade Estadual de Campinas,Tiago Barros,no info,Edson Borin,no info,Alba Cristina Magalhaes Alves de Melo,Brazil,,,,,,Universidade de Brasília,,,,,,Universidade de São Paulo,Hermes Senger,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165864,orcid.org/0000-0002-8972-080X,orcid.org/0000-0001-7462-6207,orcid.org/0000-0002-1067-6421,,,no info,22,State University of Campinas,Flávio K. Miyazawa,no info,Fábio Usberti,no info,M.G.C. Resende,no info,,,,,,AT&T Bell Laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1167798,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-5259-2859,orcid.org/0000-0001-6030-2682,,,University of Campinas,23,no info,Eduardo C. Xavier,Brazil,Flávio K. Miyazawa,no info,Cristina G. Fernandes,no info,approximation algorithms,,,,,University of Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1166643,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-3738-6448,,,Universidade de São Paulo,24,Universidade Estadual de Campinas,Bruno Albertini,no info,Guido Araujo,no info,Sandra Avila,no info,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1170077,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-7789-3359,orcid.org/0000-0002-5564-698X,,,University of Campinas,25,Universidade Estadual de Campinas,Lucas Wanner,no info,Nelson L. S. da Fonseca,no info,Luís Henrique M. K. Costa,no info,,,,,,Universidade Federal do Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1169412,orcid.org/0000-0003-1001-082X,orcid.org/0000-0001-6476-4534,orcid.org/0000-0002-8972-080X,,,State University of Campinas,26,University of Campinas,Fábio Usberti,no info,Lehilton Pedrosa,no info,Mário César San Felice,Brazil,Approximation Algorithms,Facility Location Problems,Network Design Problems,Randomized Algorithms,Combinatorial Optimization,Universidade de São Paulo,,,,,,,,,,,Online Algorithms,,,,,,Competitive Analysis,,,,,,,,,,,,,,,
27,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1254071,orcid.org/0000-0002-9529-4253,orcid.org/0000-0003-0750-0502,orcid.org/0000-0001-9068-938X,,,Universidade Estadual de Campinas,27,University of Campinas,Sandra Avila,no info,Pedro J. de Rezende,no info,Alexandru Cristian Telea,no info,,,,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
